compactor,thread,ops per thread,throughput,bandwith,CN util avg,CN P50,CN P90,CN P99,MN util avg,MN P50,MN P90,MN P99,insert lat P50,insert P90,insert P99,insert P999
0,1,3000000,641398,256.9,1.681727,1.258389,3.309098,4.684005,0.115039,0.000000,0.419463,0.838926,934,1943,3384,5893
0,2,3000000,1179013,472.3,3.162268,1.188479,8.948546,14.681207,0.213194,0.000000,0.710872,1.551702,1092,1837,3429,6232
0,4,3000000,1431448,573.3,3.095687,0.838926,10.742916,19.854586,0.290295,0.139821,0.838926,1.619002,1336,2237,3864,7216
0,8,3000000,1315425,526.9,5.750699,1.048658,16.475577,24.468680,0.302424,0.161978,0.838926,1.629476,1487,2420,4224,8598
0,16,3000000,1085305,434.7,8.842667,1.538031,24.818233,33.836689,0.274289,0.069911,0.836707,1.616705,1661,2681,4427,8783
