NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
24,2,0,4,3000000,32.243773,36.689038,64.429530,80.536913,81.655481
25,2,0,8,3000000,31.774562,36.689038,59.955257,76.062640,81.655481
27,2,0,8,3000000,27.231685,19.388516,63.534676,74.944072,80.536913
28,2,0,12,3000000,30.112456,26.845638,64.429530,70.693512,74.944072
30,2,0,12,3000000,26.981382,23.266219,61.521253,80.536913,81.655481
31,2,0,16,3000000,24.780522,17.897092,58.165548,76.062640,80.536913
32,2,0,16,3000000,25.555249,19.388516,56.375839,73.825503,80.536913
34,2,0,16,3000000,17.886793,7.643550,52.796421,68.903803,79.418345
35,2,0,16,3000000,18.150297,8.006594,50.111857,65.324385,77.181208
36,2,0,12,3000000,20.334721,10.738255,51.901566,67.114094,69.351230
37,2,0,12,3000000,23.508952,15.212528,60.850112,68.903803,69.798658
38,2,0,12,3000000,18.661498,7.829978,50.111857,69.798658,81.655481
39,2,0,8,3000000,22.060761,8.948546,60.850112,76.062640,82.774049
40,2,0,8,3000000,18.248890,4.474273,51.006711,76.062640,80.536913
