compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
2,0,1,3000000,0.060430,0.000000,0.279642,0.838926,0.838926
2,0,1,3000000,0.075064,0.000000,0.279642,0.838926,1.258389
2,0,1,3000000,0.064768,0.000000,0.279642,0.838926,0.838926
2,0,2,3000000,0.099580,0.000000,0.419463,0.838926,1.258389
2,0,2,3000000,0.097551,0.000000,0.419463,0.838926,0.838926
2,0,2,3000000,0.122408,0.000000,0.419463,0.838926,1.258389
2,0,4,3000000,0.170302,0.000000,0.559284,1.167202,1.615710
2,0,4,3000000,0.136990,0.000000,0.419463,1.118568,1.617929
2,0,4,3000000,0.168713,0.000000,0.559284,0.838926,1.258389
2,0,8,3000000,0.177775,0.000000,0.559284,1.258389,1.652430
2,0,8,3000000,0.165338,0.000000,0.559284,0.859899,1.619995
2,0,8,3000000,0.156469,0.000000,0.559284,1.258389,1.266304
2,0,12,3000000,0.186874,0.000000,0.786493,0.855059,1.531952
2,0,12,3000000,0.190047,0.000000,0.821077,0.846158,1.468121
2,0,12,3000000,0.187422,0.000000,0.795454,1.118568,1.641770
