compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
2,1,1,3000000,1.005048,0.838926,1.258389,4.194631,5.872483
2,1,1,3000000,0.924727,0.838926,1.258389,3.355705,5.872483
2,1,1,3000000,1.000428,0.838926,1.258389,4.194631,5.872483
2,1,2,3000000,1.152818,0.838926,1.258389,6.711409,14.261745
2,1,2,3000000,1.134709,0.838926,1.258389,5.872483,13.422819
2,1,2,3000000,1.099249,0.838926,1.258389,6.291946,10.906040
2,1,4,3000000,1.857297,0.838926,3.355705,20.134228,27.684564
2,1,4,3000000,1.656504,0.838926,4.474273,12.583893,17.617450
2,1,4,3000000,1.946627,0.838926,5.872483,17.617450,25.167785
2,1,8,3000000,3.388420,0.838926,12.583893,27.684564,31.879195
2,1,8,3000000,3.209520,0.838926,12.164430,25.167785,31.040268
2,1,8,3000000,3.181959,0.838926,11.744966,26.006711,31.040268
2,1,12,3000000,4.247620,1.118568,14.681208,29.362416,36.073826
2,1,12,3000000,3.834668,0.838926,14.261745,28.523490,36.073826
2,1,12,3000000,4.037433,1.258389,13.842282,29.362416,36.073826
