compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
2,3,1,3000000,2.936242,2.516779,5.033557,6.711409,7.550336
2,3,1,3000000,3.210454,2.936242,5.453020,6.711409,6.711409
2,3,1,3000000,2.809193,2.516779,4.194631,6.711409,6.711409
2,3,2,3000000,4.876983,3.355705,10.906040,15.939597,19.295302
2,3,2,3000000,4.858145,4.194631,11.325503,14.261745,21.812081
2,3,2,3000000,4.469864,4.194631,9.228188,13.422819,21.812081
2,3,4,3000000,8.057854,7.550336,16.359060,24.328859,24.328859
2,3,4,3000000,7.572873,7.550336,15.939597,20.973154,27.684564
2,3,4,3000000,8.800475,8.389262,17.617450,23.489933,27.684564
2,3,8,3000000,11.853540,12.024609,21.812081,29.362416,32.718121
2,3,8,3000000,10.682525,10.906040,20.553691,27.684564,31.879195
2,3,8,3000000,12.287627,12.164430,22.651007,28.523490,31.879195
2,3,12,3000000,8.089138,3.355705,20.134228,30.201342,38.590604
2,3,12,3000000,8.345306,3.355705,20.973154,31.879195,39.429530
2,3,12,3000000,7.863576,3.355705,19.295302,28.523490,37.751678
