NO,compactor,current_node_id,thread,ops_per_thread,type,time
1,2,3,4,3000000,local,3
1,2,3,4,3000000,node 0,10
2,2,3,4,3000000,local,2
2,2,3,4,3000000,node 0,4
3,2,3,4,3000000,local,19
3,2,3,4,3000000,node 0,11
4,2,3,4,3000000,local,13
4,2,3,4,3000000,node 0,5
5,2,3,4,3000000,local,13
5,2,3,4,3000000,node 0,10
6,2,3,4,3000000,local,17
6,2,3,4,3000000,node 0,6
7,2,3,4,3000000,local,12
7,2,3,4,3000000,node 0,8
7,2,3,4,3000000,node 1,1
8,2,3,4,3000000,local,17
8,2,3,4,3000000,node 0,9
