NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
8,0,1,1,3000000,8.136919,9.483513,13.131018,16.049022,16.049022
9,0,1,2,3000000,18.724517,16.049022,41.581558,51.551406,52.524074
10,0,1,2,3000000,15.888868,13.131018,35.016049,52.524074,52.524074
11,0,1,4,3000000,29.642173,30.639043,53.496742,62.250754,67.114094
13,0,1,4,3000000,30.965816,34.432448,56.901080,75.868106,78.786110
14,0,1,8,3000000,46.003915,48.876568,70.761599,94.835133,107.966151
15,0,1,8,3000000,38.978699,38.517654,69.302597,75.868106,78.786110
16,0,1,10,3000000,46.901742,51.065071,69.059430,99.212139,105.048147
17,0,1,10,3000000,43.939184,42.311059,75.868106,110.884155,113.802159
18,1,1,1,3000000,5.332372,5.836008,8.754012,9.483513,9.483513
20,1,1,1,3000000,5.387552,5.836008,8.754012,11.672016,11.672016
21,1,1,2,3000000,8.206886,8.754012,13.131018,23.344033,26.262037
22,1,1,2,3000000,9.313296,8.754012,17.508025,20.426029,20.426029
23,1,1,4,3000000,13.489516,15.319521,21.398697,27.234705,29.180041
24,1,1,4,3000000,13.943690,16.340823,23.344033,26.991538,29.180041
25,1,1,8,3000000,10.498176,2.918004,29.180041,37.934053,52.524074
26,1,1,8,3000000,11.677037,5.836008,29.180041,39.879389,64.196090
27,1,1,10,3000000,10.937964,3.890672,32.098045,49.606069,58.360082
