NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
17,0,1,4,3000000,28.991557,27.721039,56.414746,69.059430,70.032098
18,0,1,4,3000000,30.264679,30.639043,55.442078,61.278086,62.737088
19,0,1,4,3000000,30.506877,29.180041,59.332750,73.922770,75.868106
20,0,1,4,3000000,31.792981,26.845638,64.196090,65.655092,67.114094
21,0,1,4,3000000,34.591790,41.435658,62.250754,72.950102,81.704114
22,0,1,4,3000000,23.880169,21.885031,48.147067,66.141426,70.032098
23,1,1,4,3000000,13.486147,16.340823,20.426029,24.803035,27.721039
24,1,1,4,3000000,14.352140,14.590020,23.344033,35.016049,40.852057
26,1,1,4,3000000,12.906584,15.562688,20.426029,29.180041,30.639043
27,1,1,4,3000000,9.527116,5.836008,19.696528,27.721039,29.180041
