NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
17,0,1,4,3000000,1178112,471.9,2085,1466,2466,3891,0,1565,1380,3378,3378,960,180,0,1272
18,0,1,4,3000000,1518903,608.4,1783,1220,2026,3417,0,1910,2110,3118,3118,488,557,0,0
19,0,1,4,3000000,1167869,467.8,2240,1415,2369,4094,0,1007,436,2639,2792,825,1045,0,1002
20,0,1,4,3000000,1501527,601.4,1751,1255,2129,3468,0,1446,1899,3212,3212,916,943,0,0
21,0,1,4,3000000,1242850,497.8,2053,1408,2478,4030,0,1186,721,2526,2526,1047,968,0,1141
22,0,1,4,3000000,1245188,498.8,1794,1632,2604,4353,0,1071,1358,1863,1863,1157,985,0,0
23,1,1,4,3000000,2147596,860.2,1232,1116,1654,3201,0,324,242,662,712,3663,963,1756,1174
24,1,1,4,3000000,2178589,872.6,1227,1118,1628,3159,0,331,254,542,710,3719,1015,0,962
26,1,1,4,3000000,2217896,888.4,1221,1108,1631,3146,0,336,310,564,758,3985,730,1407,1001
27,1,1,4,3000000,1367156,547.6,1602,1475,2367,3725,0,302,241,372,1005,3378,988,2748,969
