NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,comp avg,comp p50,comp p90,comp speed1,comp speed2,comp speed3,comp speed4
29,2,1,1,3000000,792252,317.3,925,1712,3317,0,288,547,548,4317,1083,0,0
30,2,1,1,3000000,780105,312.5,937,1805,3352,934096056,262,396,463,0,1093,0,1191
31,2,1,2,3000000,1270027,508.7,1088,1757,3435,281166376,199,435,806,3738,957,0,939
32,2,1,2,3000000,1259116,504.3,1094,1743,3337,1521951304,168,625,745,5228,1023,0,980
33,2,1,4,3000000,1987261,796.0,1101,1614,3173,0,919,1326,1326,1869,255,0,0
34,2,1,4,3000000,2162143,866.0,1103,1607,3149,0,570,1265,1265,2691,914,0,1250
35,2,1,8,3000000,680413,272.5,1430,2425,4194,51792000,376,1712,17008,2928,333,0,469
36,2,1,8,3000000,835888,334.8,1566,2635,4707,0,326,1722,11541,2556,999,0,484
37,2,1,10,3000000,536191,214.8,1664,2708,4722,2142957088,345,2597,13132,2521,943,0,434
