compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,comp avg,comp p50,comp p90,comp speed1,comp speed2,comp speed3,comp speed4
2,1,1,3000000,786178,315,931,1758,3334,934096056,275,472,506,4317,1088,0,1191
2,1,2,3000000,1264572,506,1091,1750,3386,901558840,184,530,776,4483,990,0,960
2,1,4,3000000,2074702,831,1102,1610,3161,0,744,1296,1296,2280,584,0,1250
2,1,8,3000000,758150,304,1498,2530,4450,51792000,351,1717,14274,2742,666,0,476
2,1,10,3000000,536191,215,1664,2708,4722,2142957088,345,2597,13132,2521,943,0,434
