compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,comp avg,comp p50,comp p90
0,1,1,3000000,744890,298,998,1954,3502,836145196,255,499,551
0,1,2,3000000,828946,332,1623,2764,5000,1002414324,290,788,869
0,1,4,3000000,1499180,600,1551,2426,4107,182006068,578,1448,1636
0,1,8,3000000,1401495,561,1836,2948,4726,56590680,272,1932,2224
0,1,12,3000000,1289342,516,1842,2964,4876,79173892,338,1998,2500
1,1,1,3000000,762908,306,951,1922,3574,6722,264,584,607
1,1,2,3000000,1119598,448,1210,2134,3801,6996,179,596,700
1,1,4,3000000,2018120,808,1183,1820,3504,6967,175,410,708
1,1,8,3000000,906880,363,1587,2545,4364,230304928,245,1744,10932
1,1,12,3000000,632710,253,1452,2354,4141,227677772,662,2793,11902
