NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
1,0,8,1000000,1,1,6,3,3,3,8,10,10,10
1,0,8,1000000,1,2,6363,6,7,8,14,28,85417,91051
1,0,8,1000000,1,3,615029,406181,413560,497896,617150,753397,786003,815784
1,0,8,1000000,1,4,36766,14750,15120,16111,29900,74510,83694,138299
1,0,8,1000000,2,2,8227,325,325,325,8227,19577,19577,19577
1,0,8,1000000,2,3,296259,114433,114433,114433,273197,567786,567786,567786
1,0,8,1000000,2,4,35520,10984,10984,10984,26235,89547,89547,89547
1,0,8,1000000,4,2,4066,101,101,101,128,11970,11970,11970
1,0,8,1000000,4,3,155952,82003,82003,82003,142307,243547,243547,243547
1,0,8,1000000,4,4,18817,11774,11774,11774,18032,26647,26647,26647

2,0,8,1000000,1,1,5,4,4,4,5,7,7,7
2,0,8,1000000,1,2,12808,6,8,8,15,86995,98790,205978
2,0,8,1000000,1,3,591630,124373,256890,318164,602755,836597,876597,896339
2,0,8,1000000,1,4,48211,4272,4653,7751,26686,111489,144550,509484
2,0,8,1000000,2,2,6402,202,202,202,8210,12155,12155,12155
2,0,8,1000000,2,3,271930,115818,115818,115818,277733,435988,435988,435988
2,0,8,1000000,2,4,28481,10699,10699,10699,25766,59544,59544,59544
2,0,8,1000000,4,2,9744,9744,9744,9744,9744,9744,9744,9744
2,0,8,1000000,4,3,83945,83945,83945,83945,83945,83945,83945,83945
2,0,8,1000000,4,4,11154,11154,11154,11154,11154,11154,11154,11154

3,0,16,1000000,1,1,8,3,3,3,9,17,17,17
3,0,16,1000000,1,2,5674,9,13,16,35,1855,78856,85336
3,0,16,1000000,1,3,1532408,548965,667592,780393,1437261,2367098,2402999,2477963
3,0,16,1000000,1,4,77537,9973,25658,36071,70102,135091,148467,211994
3,0,16,1000000,2,2,10909,8545,8545,8545,13273,13273,13273,13273
3,0,16,1000000,2,3,450444,317592,317592,317592,583296,583296,583296,583296
3,0,16,1000000,2,4,40610,33081,33081,33081,48139,48139,48139,48139

4,0,16,1000000,1,1,14,3,3,3,8,33,33,33
4,0,16,1000000,1,2,9167,6,7,9,24,829,91906,175536
4,0,16,1000000,1,3,1446637,498820,588316,658258,1268452,2378645,2456334,2621802
4,0,16,1000000,1,4,66423,8710,12296,18153,63013,119890,148263,170521
4,0,16,1000000,2,2,19508,18601,18601,18601,20416,20416,20416,20416
4,0,16,1000000,2,3,278785,187322,187322,187322,370248,370248,370248,370248
4,0,16,1000000,2,4,27335,25538,25538,25538,29133,29133,29133,29133

5,0,32,1000000,1,1,12,7,7,8,10,18,29,29
5,0,32,1000000,1,2,143649,18,33,41,107,524666,1452838,2318336
5,0,32,1000000,1,3,2614160,566103,1119152,1556903,2721287,3472094,3672542,3709089
5,0,32,1000000,1,4,231223,3776,29891,57008,239146,393934,426118,996403
5,0,32,1000000,2,2,128956,128956,128956,128956,128956,128956,128956,128956
5,0,32,1000000,2,3,682483,682483,682483,682483,682483,682483,682483,682483
5,0,32,1000000,2,4,84363,84363,84363,84363,84363,84363,84363,84363
5,0,32,1000000,3,1,12,4,4,4,6,64,64,64
5,0,32,1000000,3,2,298,2,3,3,12,225,3103,6280
5,0,32,1000000,3,3,693803,342303,384394,437869,650111,936591,1318208,1485188
5,0,32,1000000,3,4,66378,7460,18748,20777,53775,163351,173458,191874
5,0,32,1000000,4,2,13232,122,127,129,203,20849,35052,240914
5,0,32,1000000,4,3,1109214,361741,693835,741820,1066889,1655142,1750098,1884323
5,0,32,1000000,4,4,230359,13773,45180,65751,167550,571582,581784,589602

6,0,32,1000000,1,1,10,3,3,4,10,18,22,22
6,0,32,1000000,1,2,94444,12,19,25,66,47083,355356,2473457
6,0,32,1000000,1,3,2584993,488296,1331703,1457459,2769927,3427545,3501384,3669504
6,0,32,1000000,1,4,227170,13854,28892,58318,133152,525171,903806,1107847
6,0,32,1000000,2,2,20730,20730,20730,20730,20730,20730,20730,20730
6,0,32,1000000,2,3,929825,929825,929825,929825,929825,929825,929825,929825
6,0,32,1000000,2,4,50538,50538,50538,50538,50538,50538,50538,50538
6,0,32,1000000,3,1,6,4,4,4,7,8,8,8
6,0,32,1000000,3,2,236,2,2,3,12,38,57,5605
6,0,32,1000000,3,3,764983,348028,372755,400931,630894,1251853,1310231,1582183
6,0,32,1000000,3,4,72438,28088,28403,31629,59053,148630,161590,175830
6,0,32,1000000,4,2,11138,116,122,123,147,36166,67399,116886
6,0,32,1000000,4,3,1219866,320361,609335,848029,1162681,1665220,1742143,1750068
6,0,32,1000000,4,4,187382,19239,62932,66439,163677,360876,410676,420292

7,0,48,1000000,1,1,13,3,3,4,6,26,44,44
7,0,48,1000000,1,2,98011,23,25,29,63,61226,683996,2036073
7,0,48,1000000,1,3,2579773,1302727,1868351,2049902,2515139,3278850,3622144,3930862
7,0,48,1000000,1,4,142087,2756,36672,42555,84618,316400,395690,861898
7,0,48,1000000,2,2,28879,13469,13469,13469,44290,44290,44290,44290
7,0,48,1000000,2,3,912677,656836,656836,656836,1168519,1168519,1168519,1168519
7,0,48,1000000,2,4,39391,23971,23971,23971,54811,54811,54811,54811
7,0,48,1000000,3,1,8,2,2,2,5,21,51,66
7,0,48,1000000,3,2,4419,1,2,3,10,7537,35317,92923
7,0,48,1000000,3,3,1133837,132596,416953,553889,977737,1937865,2132915,2834986
7,0,48,1000000,3,4,109600,1177,5395,6727,56010,299661,413823,603485
7,0,48,1000000,4,2,7754,107,122,124,177,1340,16246,384604
7,0,48,1000000,4,3,1321999,296350,418006,641374,1302082,2070480,2748800,2943460
7,0,48,1000000,4,4,282670,11546,29874,54108,212337,612308,685277,819074

8,0,48,1000000,1,1,33,6,6,6,9,26,302,302
8,0,48,1000000,1,2,98680,19,24,31,72,333427,507384,2080334
8,0,48,1000000,1,3,2697649,855188,1255391,1826395,2808902,3403867,3619957,3774511
8,0,48,1000000,1,4,160207,16058,34045,47097,113738,381531,479260,589598
8,0,48,1000000,2,2,59525,59525,59525,59525,59525,59525,59525,59525
8,0,48,1000000,2,3,1154770,1154770,1154770,1154770,1154770,1154770,1154770,1154770
8,0,48,1000000,2,4,514149,514149,514149,514149,514149,514149,514149,514149
8,0,48,1000000,3,1,10,2,2,2,5,20,32,95
8,0,48,1000000,3,2,748,1,2,3,13,466,8297,19409
8,0,48,1000000,3,3,1106551,42565,335842,544424,1092293,1932615,2098719,2345026
8,0,48,1000000,3,4,93318,919,6563,13197,63316,212311,258012,523556
8,0,48,1000000,4,2,12230,118,122,122,212,2653,27712,346870
8,0,48,1000000,4,3,1335549,91166,334761,473642,1357256,2234406,2286472,2611923
8,0,48,1000000,4,4,255668,10516,30324,43764,233217,440516,518650,658943


10,1,8,1000000,1,1,1504,34,34,34,93,5803,5803,5803
10,1,8,1000000,1,2,1086301,682405,682405,682405,952719,1623780,1623780,1623780
10,1,8,1000000,1,3,49,46,46,46,49,53,53,53
10,1,8,1000000,2,1,7483,29,29,29,31,22389,22389,22389
10,1,8,1000000,2,2,343998,144013,144013,144013,285186,602796,602796,602796
10,1,8,1000000,2,3,25,19,19,19,24,34,34,34

11,1,8,1000000,1,1,79,64,64,64,83,92,92,92
11,1,8,1000000,1,2,1018882,518696,518696,518696,1519068,1519068,1519068,1519068
11,1,8,1000000,1,3,61,55,55,55,68,68,68,68
11,1,8,1000000,2,1,4031,12,12,12,36,20014,20014,20014
11,1,8,1000000,2,2,509828,140459,140459,140459,429484,1135011,1135011,1135011
11,1,8,1000000,2,3,29,12,12,12,27,55,55,55

12,1,16,1000000,1,1,1572,57,57,57,135,13050,13050,13050
12,1,16,1000000,1,2,1140707,447889,447889,447889,1405019,1522234,1522234,1522234
12,1,16,1000000,1,3,257,39,39,39,105,1444,1444,1444
12,1,16,1000000,2,1,10410,29,29,29,40,43733,43733,43733
12,1,16,1000000,2,2,405374,114093,114093,114093,350038,883994,883994,883994
12,1,16,1000000,2,3,23,12,12,12,22,40,40,40
12,1,16,1000000,4,1,32,12,12,12,29,63,63,63
12,1,16,1000000,4,2,185719,92368,92368,92368,231367,247622,247622,247622
12,1,16,1000000,4,3,16,10,10,10,19,21,21,21

13,1,16,1000000,1,1,93,35,35,45,109,148,148,148
13,1,16,1000000,1,2,1038336,367657,367657,367657,936173,1706121,1706121,1706121
13,1,16,1000000,1,3,82,40,40,40,89,130,130,130
13,1,16,1000000,2,1,6396,15,15,15,31,25513,25513,25513
13,1,16,1000000,2,2,377039,181015,181015,181015,369506,668821,668821,668821
13,1,16,1000000,2,3,23,17,17,17,24,30,30,30
13,1,16,1000000,4,1,23,23,23,23,23,23,23,23
13,1,16,1000000,4,2,225071,225071,225071,225071,225071,225071,225071,225071
13,1,16,1000000,4,3,19,19,19,19,19,19,19,19

14,1,32,1000000,1,1,4394,43,43,74,209,5467,52867,52867
14,1,32,1000000,1,2,2741632,332183,332183,712397,3390534,4146320,4265768,4265768
14,1,32,1000000,1,3,189,30,30,41,160,405,528,528
14,1,32,1000000,2,1,75277,52804,52804,52804,97750,97750,97750,97750
14,1,32,1000000,2,2,461509,345720,345720,345720,577299,577299,577299,577299
14,1,32,1000000,2,3,26,18,18,18,35,35,35,35
14,1,32,1000000,3,1,942,29,29,29,55,4526,4526,4526
14,1,32,1000000,3,2,425619,347837,347837,347837,432788,545684,545684,545684
14,1,32,1000000,3,3,1809,34,34,34,55,7111,7111,7111
14,1,32,1000000,4,1,59,21,21,28,40,115,165,165
14,1,32,1000000,4,2,410279,225612,225612,258468,313555,646485,913668,913668
14,1,32,1000000,4,3,27,13,13,17,23,46,63,63

15,1,32,1000000,1,1,164,40,40,69,162,271,342,342
15,1,32,1000000,1,2,2008452,533375,533375,604867,1851844,2717444,7180557,7180557
15,1,32,1000000,1,3,840,45,45,58,161,619,8606,8606
15,1,32,1000000,2,1,29095,30,30,30,64,116252,116252,116252
15,1,32,1000000,2,2,405075,235225,235225,235225,472255,635848,635848,635848
15,1,32,1000000,2,3,74,23,23,23,104,139,139,139
15,1,32,1000000,3,1,79,36,36,36,68,172,172,172
15,1,32,1000000,3,2,612896,235205,235205,235205,441918,1494820,1494820,1494820
15,1,32,1000000,3,3,47,35,35,35,39,71,71,71
15,1,32,1000000,4,1,58,12,14,19,49,131,133,150
