NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
1,0,3,8,1000000,14.618912,6.944444,54.166667,76.388889,83.333333
2,0,3,8,1000000,11.391777,6.944444,18.055556,65.972222,67.708333
3,0,3,16,1000000,18.126503,6.944444,55.555556,69.444444,76.388889
4,0,3,16,1000000,17.379542,6.944444,55.555556,69.444444,76.388889
5,0,3,32,1000000,26.362924,8.680556,57.870370,69.444444,86.805556
6,0,3,32,1000000,27.389058,8.680556,59.027778,71.759259,104.166667
7,0,3,48,1000000,32.308247,31.250000,64.814815,90.277778,104.166667
8,0,3,48,1000000,33.376923,41.666667,65.972222,83.333333,97.222222
10,1,3,8,1000000,11.945263,6.944444,16.203704,90.277778,97.222222
11,1,3,8,1000000,13.194649,6.944444,50.347222,64.814815,67.129630
12,1,3,16,1000000,16.508945,6.944444,50.925926,69.444444,83.333333
13,1,3,16,1000000,17.129727,6.944444,53.819444,69.444444,83.333333
14,1,3,32,1000000,21.675321,8.333333,57.870370,71.759259,83.333333
15,1,3,32,1000000,23.039426,8.333333,60.185185,72.916667,97.222222
16,1,3,32,1000000,21.337343,8.333333,55.555556,69.444444,86.805556
18,1,3,48,1000000,22.679431,13.888889,57.870370,69.444444,79.861111
19,1,3,48,1000000,24.809638,13.888889,62.500000,79.861111,90.277778
