NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
1,0,0,8,1000000,12.672386,14.423077,19.230769,19.230769,19.230769
2,0,0,8,1000000,13.647659,19.230769,19.230769,19.230769,19.230769
3,0,0,16,1000000,13.002985,17.515613,19.230769,19.230769,19.230769
4,0,0,16,1000000,13.611767,19.230769,19.230769,19.230769,19.230769
5,0,0,32,1000000,15.774513,19.230769,19.230769,38.461538,38.461538
6,0,0,32,1000000,13.548413,19.230769,19.230769,28.846154,28.846154
7,0,0,48,1000000,12.322048,9.615385,19.230769,28.846154,28.846154
8,0,0,48,1000000,15.269686,19.230769,19.230769,38.461538,38.461538
10,1,0,8,1000000,53.924748,57.692308,76.923077,80.769231,80.769231
11,1,0,8,1000000,58.977625,61.538462,80.769231,96.153846,100.961538
12,1,0,16,1000000,65.799010,73.076923,80.769231,96.153846,100.961538
13,1,0,16,1000000,67.367577,73.076923,80.769231,96.153846,96.153846
14,1,0,32,1000000,49.392547,53.846154,73.076923,86.538462,96.153846
15,1,0,32,1000000,64.145240,73.076923,80.769231,96.153846,96.153846
16,1,0,32,1000000,60.022358,67.307692,80.769231,96.153846,96.153846
18,1,0,48,1000000,52.887288,57.692308,76.923077,96.153846,100.961538
19,1,0,48,1000000,56.461691,64.102564,80.769231,96.153846,100.961538
