NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
1,0,1,8,1000000,1085339,434.7,2256,1734,2870,4898,0,501,675,858,869,1875,1023,0,1278
2,0,1,8,1000000,1227407,491.6,2108,1593,2595,4758,0,523,501,949,982,1764,1006,0,1203
3,0,1,16,1000000,1062578,425.6,3249,1832,2893,4695,0,1263,1170,2641,2660,947,583,0,1516
4,0,1,16,1000000,1054977,422.6,3762,1820,2920,4727,0,1504,1378,2738,2834,758,600,0,0
5,0,1,32,1000000,720693,288.7,11368,2219,3576,6780,0,1676,1362,3560,4074,232,216,633,273
6,0,1,32,1000000,738852,295.9,14142,2178,3521,7181,0,1769,1501,3690,4135,239,266,727,277
7,0,1,48,1000000,736450,295.0,16476,1884,2979,4767,0,1793,1634,3085,4539,267,271,557,165
8,0,1,48,1000000,718983,288.0,19704,1863,2906,4553,0,1672,1513,3007,3993,393,154,485,232
10,1,1,8,1000000,1144522,458.4,2436,2083,3316,6234,0,964,697,2353,2353,910,765,0,0
11,1,1,8,1000000,1102617,441.6,2500,2101,3291,5779,0,897,635,2426,2426,1046,812,0,0
12,1,1,16,1000000,1252221,501.6,2355,1740,2690,4650,0,775,716,1535,1565,1379,993,0,1284
13,1,1,16,1000000,1222121,489.5,2430,1766,2804,4876,0,841,696,1743,1757,1836,1046,0,1436
14,1,1,32,1000000,738788,295.9,10768,2222,3533,6296,0,1362,586,4082,4493,622,469,1205,800
15,1,1,32,1000000,936389,375.1,7539,1856,2935,5752,0,1170,914,2052,7237,921,1029,1792,543
16,1,1,32,1000000,843408,337.8,6822,1840,2903,5110,0,1144,824,2233,6971,899,836,1474,647
18,1,1,48,1000000,516878,207.0,9410,2105,3376,6533,0,2480,2312,4451,9388,544,285,287,282
19,1,1,48,1000000,538524,215.7,8314,1840,2862,4906,0,2158,1872,3672,9941,1011,858,473,264
