NO,compactor,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
16,1,3,1,65409,21,21,22,76,449138,531117,531117
16,1,3,2,1816,0,1,1,8,27,26791,47163
16,1,3,3,449551,68055,73628,84654,314473,896614,969213,1601333
16,1,3,4,30545,3944,5130,5308,19888,40649,59066,573373
16,1,3,5,135,58,58,61,135,198,307,307
16,1,4,1,33927,9,11,12,31,198,200,711473
16,1,4,2,4179,533,1642,1877,2378,8202,10951,11982
16,1,4,3,394719,94262,139077,144968,235911,882858,935163,946215
16,1,4,4,58828,14188,15331,17264,23504,40592,44418,754352
16,1,4,5,33,20,25,27,33,41,42,55


18,1,1,1,126,33,56,60,113,202,243,245
18,1,1,2,89904,11850,15637,23320,62042,173665,208778,281885
18,1,1,3,2436622,188153,356124,481305,1614241,6703963,7905046,10019486
18,1,1,4,140438,11598,18663,29172,80988,199921,690800,935160
18,1,1,5,343,67,87,110,295,628,781,1032
18,1,2,1,44,33,33,33,47,56,56,56
18,1,2,2,8887,6296,6296,6296,9198,12557,12557,12557
18,1,2,3,438064,142387,142387,142387,403947,793883,793883,793883
18,1,2,4,45182,13180,13180,13180,43744,98716,98716,98716
18,1,2,5,40,26,26,26,40,58,58,58
18,1,3,1,65256,15,16,18,34,495789,552757,636695
18,1,3,2,8,0,0,1,7,19,27,47
18,1,3,3,1227571,56069,118087,176309,954621,2488270,2726642,3601750
18,1,3,4,149255,487,5491,7101,28232,659040,739975,1306506
18,1,3,5,352,51,57,58,81,205,353,12126
18,1,4,1,34282,10,11,11,23,52,471861,702191
18,1,4,2,4237,164,1651,2328,3176,6895,10262,20332
18,1,4,3,841267,104612,108570,153170,784969,1668311,1893595,3383278
18,1,4,4,136111,10206,11693,15229,41313,595866,655932,746774
18,1,4,5,38,23,26,28,36,51,54,69

19,1,1,1,151,41,60,61,146,240,248,508
19,1,1,2,49671,9230,12084,14814,33152,130968,159943,188931
19,1,1,3,1965747,99168,172445,258694,673551,6718527,8790100,9308363
19,1,1,4,145066,3798,12626,18941,45277,134708,807178,1538359
19,1,1,5,291,66,78,92,233,613,825,887
19,1,2,1,46,23,23,27,34,87,96,96
19,1,2,2,12287,7042,7042,7104,11025,16422,26961,26961
19,1,2,3,299545,88019,88019,126473,246739,472433,543963,543963
19,1,2,4,29615,9458,9458,14033,24468,50347,56321,56321
19,1,2,5,30,22,22,23,31,38,42,42
19,1,3,1,55973,14,16,16,42,392399,551510,758827
19,1,3,2,9,0,0,1,6,21,35,57
19,1,3,3,1112480,7671,80913,118370,927594,2558519,2683706,3799084
19,1,3,4,110755,523,4949,5659,24694,600416,749588,805509
19,1,3,5,191,46,48,52,76,166,235,4733
19,1,4,1,32555,10,10,11,16,84,401936,539490
19,1,4,2,4357,54,2222,2324,3721,8398,9243,12036
19,1,4,3,916700,43037,131673,165762,867543,1778519,2169117,2404936
19,1,4,4,101936,5562,10905,13246,26458,579468,602320,786402
19,1,4,5,42,21,23,24,31,67,97,343

