NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99


3,2,16,1000000,4,1,18181,24,24,24,57,54462,54462,54462
3,2,16,1000000,4,2,462263,197472,197472,197472,566550,622767,622767,622767
3,2,16,1000000,4,3,24,20,20,20,25,27,27,27



6,2,16,1000000,3,1,42,42,42,42,42,42,42,42
6,2,16,1000000,3,2,232401,232401,232401,232401,232401,232401,232401,232401
6,2,16,1000000,3,3,93,93,93,93,93,93,93,93

7,2,32,1000000,3,1,56,34,34,34,47,124,124,124
7,2,32,1000000,3,2,366084,242946,242946,242946,384448,530329,530329,530329
7,2,32,1000000,3,3,43,32,32,32,38,64,64,64
7,2,32,1000000,4,1,31,18,18,18,27,83,83,83
7,2,32,1000000,4,2,362821,175966,175966,175966,415212,577301,577301,577301
7,2,32,1000000,4,3,19,11,11,11,20,34,34,34

8,2,32,1000000,3,1,88,68,68,68,109,109,109,109
8,2,32,1000000,3,2,370773,358675,358675,358675,382872,382872,382872,382872
8,2,32,1000000,3,3,45,40,40,40,51,51,51,51
8,2,32,1000000,4,1,35,26,26,26,32,48,48,48
8,2,32,1000000,4,2,279443,226401,226401,226401,227630,384299,384299,384299
8,2,32,1000000,4,3,25,22,22,22,27,28,28,28


10,2,48,1000000,3,1,6111,41,41,58,83,7976,70566,70566
10,2,48,1000000,3,2,484382,213683,213683,249154,444508,752045,1044849,1044849
10,2,48,1000000,3,3,47,28,28,32,44,62,77,77
10,2,48,1000000,4,1,248,15,17,20,42,1422,2744,2744
10,2,48,1000000,4,2,278145,85289,140134,173106,267903,484311,673467,673467
10,2,48,1000000,4,3,25,12,14,17,24,45,59,59



13,2,48,1000000,3,1,69,33,33,44,61,124,135,135
13,2,48,1000000,3,2,510776,273709,273709,284971,428531,860778,916204,916204
13,2,48,1000000,3,3,46,32,32,34,43,67,85,85
13,2,48,1000000,4,1,59,28,28,33,48,95,106,106
13,2,48,1000000,4,2,512331,133592,133592,157634,460569,825355,1385165,1385165
13,2,48,1000000,4,3,30,17,17,19,26,42,84,84

