NO,compactor,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
1,2,1,1,107,35,35,53,106,153,208,208
1,2,1,2,1312,292,325,343,994,1886,2059,12416
1,2,1,3,494974,149265,213706,254579,455930,755897,806739,941066
1,2,1,4,34678,7059,16813,19632,35687,49886,58096,61703
1,2,1,5,167,67,67,71,140,252,344,344
1,2,2,1,50,22,22,22,36,86,86,86
1,2,2,2,380,170,170,170,373,674,674,674
1,2,2,3,220338,85240,85240,85240,167348,415233,415233,415233
1,2,2,4,21012,9485,9485,9485,18612,40051,40051,40051

2,2,1,1,1098,27,27,27,146,8685,8685,8685

3,2,1,1,137,57,57,59,123,231,259,259
3,2,1,2,1630,337,440,519,1323,2836,3218,13101
3,2,1,3,539947,38443,90605,226330,461406,965560,1029059,1209562
3,2,1,4,35359,1622,6378,14349,31953,59696,67247,87903

4,2,1,1,117,46,46,61,118,193,199,199
4,2,1,2,1754,283,346,383,1026,2567,4298,21603
4,2,1,3,480141,99785,211644,278999,494723,697070,722511,908026
4,2,1,4,31631,8053,12139,19903,32992,45193,46900,52712
4,2,1,5,210,69,69,90,200,345,368,368


6,2,1,1,190,39,55,63,136,387,407,479
6,2,1,2,2248,282,378,487,1311,5219,5346,12802
6,2,1,3,847621,78523,185357,224968,658225,1592344,1936733,3053782
6,2,1,4,46096,3976,10934,14157,45805,79710,89855,110722

7,2,1,1,217,72,72,73,148,368,399,399
7,2,1,2,2621,339,358,419,1784,5071,5315,9304
7,2,1,3,935892,80320,141389,204946,1227903,1635030,1677406,1932383
7,2,1,4,48872,4964,9540,13323,59160,79534,86074,89385
7,2,1,5,316,61,61,65,265,738,870,870

8,2,1,1,214,47,47,83,222,434,467,467
8,2,1,2,2774,271,299,413,1590,4999,5669,28821
8,2,1,3,1148910,80679,166539,247244,787733,3663159,4794346,5956777
8,2,1,4,86321,4184,7286,17796,47942,86382,619644,1196140





