NO,compactor,current_node_id,thread,ops_per_thread,type,time
18,2,5,8,3000000,local,9
18,2,5,8,3000000,node 0,22
18,2,5,8,3000000,node 1,1
19,2,5,8,3000000,local,7
19,2,5,8,3000000,node 0,26
20,2,5,12,3000000,local,26
20,2,5,12,3000000,node 0,42
20,2,5,12,3000000,node 1,1
20,2,5,12,3000000,node 3,1
21,2,5,12,3000000,local,33
21,2,5,12,3000000,node 0,52
22,2,5,16,3000000,local,122
22,2,5,16,3000000,node 0,56
22,2,5,16,3000000,node 1,6
22,2,5,16,3000000,node 3,1
23,2,5,16,3000000,local,94
23,2,5,16,3000000,node 0,47
23,2,5,16,3000000,node 1,3
23,2,5,16,3000000,node 3,3
