NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
21,0,0,8,1000000,1203230,481.9,2292,1618,2807,5281,0,545,675,827,885,1993,954,2869,1280
22,0,0,8,1000000,1377582,551.8,2091,1449,2660,5794,0,540,556,924,1094,1995,1082,0,0
23,0,0,8,1000000,1214351,486.4,2103,1582,2740,5148,0,509,573,837,874,2023,1088,0,879
24,0,0,8,1000000,1171112,469.1,2241,1742,2846,4919,0,437,433,786,788,1973,1095,1797,1433
25,0,0,8,1000000,1204274,482.4,2146,1674,2728,4711,0,471,619,750,777,1934,1099,2741,1051
26,0,0,8,1000000,1239610,496.5,2112,1528,2617,4771,0,448,424,793,841,2157,1156,2080,1361
27,0,0,8,1000000,1171997,469.4,2164,1667,2863,5696,0,424,500,662,726,2234,1163,0,1232
28,0,0,8,1000000,1178350,472.0,2263,1653,2795,4892,0,444,489,752,758,2128,1094,1850,1164
29,1,0,8,1000000,1277368,511.6,1980,1656,2593,4554,0,779,541,2200,2200,1004,1096,0,0
30,1,0,8,1000000,1288451,516.1,2038,1696,2632,4568,0,647,744,1460,1460,932,924,0,0
31,1,0,8,1000000,1288852,516.2,1971,1690,2636,4880,0,612,450,1585,1585,1098,1018,0,0
32,1,0,8,1000000,1266748,507.4,1990,1687,2631,4736,0,570,400,1578,1578,1081,1079,0,0
33,1,0,8,1000000,1292446,517.7,1990,1679,2649,4874,0,658,461,1822,1822,922,1109,0,0
40,1,0,8,1000000,1277176,511.6,1977,1702,2623,4662,0,624,392,1882,1882,926,1081,0,0
41,1,0,8,1000000,1264857,506.6,2052,1665,2629,4898,0,572,419,1692,1692,1105,1092,0,0
42,1,0,8,1000000,1302871,521.9,1949,1692,2632,4635,0,786,582,2458,2458,1131,1027,0,0
