NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
1,2,8,1000000,4,1,49,49,49,49,49,49,49,49
1,2,8,1000000,4,2,618240,618240,618240,618240,618240,618240,618240,618240
1,2,8,1000000,4,3,28,28,28,28,28,28,28,28



4,2,16,1000000,3,1,39,39,39,39,39,39,39,39
4,2,16,1000000,3,2,243204,243204,243204,243204,243204,243204,243204,243204
4,2,16,1000000,3,3,33,33,33,33,33,33,33,33
4,2,16,1000000,4,1,22,22,22,22,22,22,22,22
4,2,16,1000000,4,2,229050,229050,229050,229050,229050,229050,229050,229050
4,2,16,1000000,4,3,13,13,13,13,13,13,13,13

5,2,16,1000000,3,1,80,80,80,80,80,80,80,80
5,2,16,1000000,3,2,223071,223071,223071,223071,223071,223071,223071,223071
5,2,16,1000000,3,3,31,31,31,31,31,31,31,31
5,2,16,1000000,4,1,1141,33,33,33,2249,2249,2249,2249
5,2,16,1000000,4,2,242034,234680,234680,234680,249388,249388,249388,249388
5,2,16,1000000,4,3,29,26,26,26,33,33,33,33

7,2,16,1000000,4,1,55,39,39,39,72,72,72,72

8,2,32,1000000,3,1,50,45,45,45,52,53,53,53
8,2,32,1000000,3,2,596968,341654,341654,341654,722503,726747,726747,726747
8,2,32,1000000,3,3,60,45,45,45,53,83,83,83
8,2,32,1000000,4,1,629,14,14,19,31,71,8977,8977
8,2,32,1000000,4,2,211025,78576,78576,123010,191872,279159,442204,442204
8,2,32,1000000,4,3,30,10,10,16,23,58,118,118

9,2,32,1000000,3,1,76,64,64,64,77,97,97,97
9,2,32,1000000,3,2,523379,306074,306074,306074,594073,669992,669992,669992
9,2,32,1000000,3,3,52,50,50,50,53,54,54,54
9,2,32,1000000,4,1,13413,14,14,20,55,276,160150,160150
9,2,32,1000000,4,2,249282,74375,74375,160737,191974,756812,756812,756812
9,2,32,1000000,4,3,22,15,15,15,22,34,34,34

10,2,48,1000000,3,1,74,29,29,40,62,132,145,145
10,2,48,1000000,3,2,728818,279569,279569,306569,556508,1354315,2010996,2010996
10,2,48,1000000,3,3,70,29,29,35,65,115,142,142
10,2,48,1000000,4,1,32013,17,19,20,33,71755,342221,381752
10,2,48,1000000,4,2,339109,78746,86887,119995,246208,460714,739436,1909265
10,2,48,1000000,4,3,29,12,12,16,23,49,62,96







16,2,48,1000000,3,1,76016,26,26,38,59,303728,303728,303728
16,2,48,1000000,3,2,657894,288771,288771,305058,649445,1551856,1551856,1551856
16,2,48,1000000,3,3,52,35,35,36,52,77,77,77
16,2,48,1000000,4,1,19134,15,16,22,39,3679,73044,538097
16,2,48,1000000,4,2,461534,91573,140092,162525,251173,1075195,1698545,1772802
16,2,48,1000000,4,3,30,10,12,14,24,58,69,115





21,0,8,1000000,1,1,13,7,7,7,9,34,34,34
21,0,8,1000000,1,2,25282,6,10,11,20,73026,165525,435157
21,0,8,1000000,1,3,551838,118066,250032,410848,568195,708402,739440,750214
21,0,8,1000000,1,4,48936,2477,7621,15545,28155,73239,89512,635104
21,0,8,1000000,2,2,6791,500,500,500,9199,10383,10383,10383
21,0,8,1000000,2,3,295302,153016,153016,153016,327448,469560,469560,469560
21,0,8,1000000,2,4,41420,10486,10486,10486,30949,103544,103544,103544
21,0,8,1000000,4,2,220,220,220,220,220,220,220,220
21,0,8,1000000,4,3,216028,216028,216028,216028,216028,216028,216028,216028
21,0,8,1000000,4,4,25902,25902,25902,25902,25902,25902,25902,25902

22,0,8,1000000,1,1,6,3,3,3,7,9,9,9
22,0,8,1000000,1,2,18867,6,7,9,14,82416,82990,375908
22,0,8,1000000,1,3,481944,154716,263348,270437,503818,692189,718671,753086
22,0,8,1000000,1,4,33401,1944,5399,7592,30957,58863,113305,120283
22,0,8,1000000,2,2,5738,198,198,198,8361,10367,10367,10367
22,0,8,1000000,2,3,252914,115020,115020,115020,213055,484464,484464,484464
22,0,8,1000000,2,4,29346,11432,11432,11432,20854,66660,66660,66660

23,0,8,1000000,1,1,3,3,3,3,3,8,8,8
23,0,8,1000000,1,2,5547,6,6,8,19,966,69893,73247
23,0,8,1000000,1,3,539558,290946,297556,388686,533622,709159,735736,762453
23,0,8,1000000,1,4,30560,8377,13346,15449,29725,52945,54282,74051
23,0,8,1000000,2,2,5489,318,318,318,7477,11635,11635,11635
23,0,8,1000000,2,3,275414,104105,104105,104105,263718,512623,512623,512623
23,0,8,1000000,2,4,39555,10451,10451,10451,25768,110933,110933,110933
23,0,8,1000000,4,2,9580,7417,7417,7417,11743,11743,11743,11743
23,0,8,1000000,4,3,322265,285463,285463,285463,359068,359068,359068,359068
23,0,8,1000000,4,4,27620,27110,27110,27110,28130,28130,28130,28130

24,0,8,1000000,1,1,5,3,3,3,6,8,8,8
