compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
0,1,4,3000000,1780403,713,1406,1242,2032,3547,0,738,736,1498,1526,1318,1013,0,1084
0,1,8,3000000,1485068,595,2124,1572,2620,4762,0,944,862,2074,2277,1450,1013,1695,787
0,1,12,3000000,1297517,520,3214,1676,2696,4559,0,816,798,1738,2214,954,1040,1402,656
1,1,4,3000000,1782619,714,1357,1208,1982,3351,0,251,238,354,718,4476,1067,3296,1046
1,1,8,3000000,1154134,462,2052,1373,2274,3879,0,798,330,1721,7175,3439,1010,1770,1026
1,1,12,3000000,617548,247,1074,1741,2751,5095,0,1616,1244,3319,9809,3462,1113,1144,295
2,1,4,3000000,1381534,553,1612,1424,2494,4004,0,832,760,1370,1694,976,736,2002,882
2,1,8,3000000,1317558,528,2306,1509,2452,4000,0,1231,1104,2582,3928,584,772,0,746
2,1,12,3000000,595923,239,2714,1776,2838,5166,0,2215,1430,4480,11746,656,828,649,430
