NO,compactor,current_node_id,thread,ops_per_thread,type,time
38,2,3,4,3000000,local,10
38,2,3,4,3000000,node 0,11

39,2,3,4,3000000,local,10
39,2,3,4,3000000,node 0,8

40,2,3,4,3000000,local,11
40,2,3,4,3000000,node 0,12

41,2,3,4,3000000,local,12
41,2,3,4,3000000,node 0,11
41,2,3,4,3000000,node 5,1

42,2,3,4,3000000,local,9
42,2,3,4,3000000,node 0,12

43,2,3,4,3000000,local,7
43,2,3,4,3000000,node 0,7

44,2,3,4,3000000,local,11
44,2,3,4,3000000,node 0,12

46,2,3,4,3000000,local,8
46,2,3,4,3000000,node 0,10
