NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
9,0,0,4,3000000,1.113121,0.838926,3.355705,8.019147,8.118640
10,0,0,4,3000000,1.117878,0.000000,3.355705,8.036442,12.001305
11,0,0,4,3000000,1.237813,0.838926,3.495526,7.928313,7.985932
12,0,0,4,3000000,1.306980,0.838926,3.495526,8.925784,9.628585
13,0,0,4,3000000,1.121842,0.000000,3.363765,8.147264,8.181607
14,0,0,4,3000000,1.104044,0.699105,3.355705,7.704424,8.193512
15,0,0,4,3000000,1.282813,0.838926,3.495526,7.690157,8.241216
16,0,0,4,3000000,1.181843,0.838926,3.355705,7.426560,8.221477
17,1,0,4,3000000,32.372892,35.234899,64.597315,81.795302,81.795302
18,1,0,4,3000000,31.763410,26.845638,65.436242,80.746644,81.795302
19,1,0,4,3000000,25.589313,19.295302,62.080537,69.630872,69.630872
20,1,0,4,3000000,30.630257,25.167785,65.436242,70.260067,75.503356
21,1,0,4,3000000,29.473783,22.651007,65.436242,80.746644,80.746644
22,1,0,4,3000000,32.696031,36.073826,64.597315,78.649329,80.746644
24,1,0,4,3000000,28.515860,22.371365,63.906435,80.746644,81.795302
25,1,0,4,3000000,31.145915,32.158837,64.597315,70.927395,78.649329
