compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
0,0,4,3000000,1705265,683,1474,1280,2153,3614,0,760,748,1378,1556,1382,1056,1741,842
0,0,8,3000000,1495458,599,2186,1548,2526,4092,0,832,417,1942,2128,898,977,2570,950
0,0,12,3000000,1170386,469,4006,1720,2773,4902,0,1046,1020,1878,2864,875,1032,1205,426
1,0,4,3000000,2156504,864,1236,1128,1631,3180,0,277,250,492,583,4082,1117,3291,1310
1,0,8,3000000,1072844,430,2038,1522,2466,4167,0,601,245,1162,5077,3516,1019,2757,982
1,0,12,3000000,573670,230,4201,1767,2824,5665,0,1637,317,4373,14518,2942,1084,1803,611
2,0,4,3000000,1648228,660,1506,1312,2270,3622,0,849,724,1690,1726,1036,746,1375,866
2,0,8,3000000,1255160,503,2618,1608,2632,4461,0,1105,868,2454,3073,757,745,1075,756
2,0,12,3000000,574110,230,3740,1746,2830,4954,0,2466,1540,4442,13795,981,904,367,352
