thread,ops per thread,throughput,bandwith,CN util avg,CN P50,CN P90,CN P99,MN util avg,MN P50,MN P90,MN P99,insert lat P50,insert P90,insert P99,insert P999
2,5000000,1380026,552.8,0.864181,1.258389,1.258389,1.258389,0.184293,0.184293,0.184293,0.184293,1052,1572,3078,6541
2,5000000,1257488,503.7,0.854493,1.258389,1.258389,1.258389,0.664930,0.664930,0.664930,0.664930,1048,1670,3035,6337
2,5000000,1270617,508.9,0.868829,1.258389,1.258389,1.258389,0.656837,0.656837,0.656837,0.656837,1073,1712,3248,7023
2,5000000,1379366,552.5,0.849985,0.838926,1.258389,1.258389,0.680758,0.680758,0.680758,0.680758,1058,1589,3019,6029
2,5000000,1220771,489.0,0.858402,1.258389,1.258389,1.258389,0.797884,0.811420,0.811420,0.811420,1095,1865,3839,7521
2,5000000,1335040,534.7,0.884295,1.258389,1.258389,1.258389,0.684560,0.684560,0.684560,0.684560,1059,1597,3005,5786
2,5000000,1351280,541.2,0.868822,1.258389,1.258389,1.258389,0.764100,0.764100,0.764100,0.764100,1069,1634,3020,5756
2,5000000,1325673,531.0,0.868978,1.258389,1.258389,1.258389,0.688952,0.688952,0.688952,26.006711,1061,1637,3021,5471
2,5000000,1315363,526.9,0.882134,1.258389,1.258389,1.258389,0.657237,0.657237,0.657237,0.657237,1079,1645,3015,5445
2,5000000,1341893,537.5,0.876723,1.258389,1.258389,1.258389,0.747890,0.747890,0.747890,0.747890,1060,1707,3124,6595
2,5000000,1323857,530.3,0.886711,1.258389,1.258389,1.258389,0.689988,0.689988,0.689988,0.689988,1053,1631,3096,6359
2,5000000,1372577,549.8,0.867253,1.258389,1.258389,1.258389,0.570699,0.570699,0.570699,0.570699,1052,1611,3073,6367
2,5000000,1329177,532.4,0.864936,1.258389,1.258389,1.258389,0.745958,0.745958,0.745958,0.745958,1048,1601,3052,6085
8,5000000,1020891,408.9,0.860177,1.258389,1.258389,1.258389,0.746027,0.810488,0.810488,0.810488,1246,2010,3330,7331
8,5000000,932458,373.5,0.870225,1.258389,1.258389,1.258389,0.585964,1.633698,1.633698,1.633698,1289,2121,3563,7778
8,5000000,1023631,410.0,0.886907,1.258389,1.258389,1.677852,0.780933,0.780933,0.780933,0.780933,1218,1906,3093,5679
8,5000000,841947,337.2,0.861537,1.258389,1.258389,1.258389,0.765595,0.765595,0.765595,0.765595,1341,2234,3906,7662
8,5000000,1352726,541.8,0.875895,1.258389,1.258389,1.258389,0.782475,0.782475,0.782475,0.782475,1234,1946,3263,6280
8,5000000,1486792,595.5,0.875172,1.258389,1.258389,1.258389,0.767753,0.767753,0.767753,0.767753,1225,1894,3112,5740
8,5000000,993753,398.0,0.851239,0.838926,1.258389,1.258389,0.773976,0.773976,0.773976,0.773976,1235,1955,3159,5869
