NO,compactor,current_node_id,thread,ops_per_thread,type,time
29,2,5,1,3000000,local,13
30,2,5,1,3000000,local,14
31,2,5,2,3000000,local,9
31,2,5,2,3000000,node 0,6
31,2,5,2,3000000,node 1,1
32,2,5,2,3000000,local,16
32,2,5,2,3000000,node 0,4
33,2,5,4,3000000,local,1
33,2,5,4,3000000,node 0,6
34,2,5,4,3000000,local,2
34,2,5,4,3000000,node 0,9
35,2,5,8,3000000,local,46
35,2,5,8,3000000,node 0,15
36,2,5,8,3000000,local,40
36,2,5,8,3000000,node 0,10
36,2,5,8,3000000,node 3,1
37,2,5,10,3000000,local,77
37,2,5,10,3000000,node 0,15
37,2,5,10,3000000,node 1,2
38,2,5,10,3000000,local,53
38,2,5,10,3000000,node 0,16
