compactor,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
0,4,3000000,1723062.5,690.0,1443.0,1260.0,2112.5,3598.0,,682.0,668.0,1169.0,1438.0,1649.0,1044.0,1741.0,995.0
0,8,3000000,1571616.5,629.5,2213.5,1478.0,2375.0,3971.0,,853.0,427.5,1947.0,2228.5,931.5,970.5,2237.0,1007.0
0,12,3000000,1206571.0,483.5,3587.0,1716.0,2760.5,4811.0,,969.0,923.0,1881.0,2648.0,824.5,1043.0,1075.5,479.0
1,4,3000000,1882565.0,754.0,1350.0,1218.5,1903.5,3369.0,,280.5,251.5,486.0,650.5,4164.0,1103.5,3159.5,1255.0
1,8,3000000,917571.0,367.5,1873.0,1569.0,2551.0,4382.0,,882.5,256.5,2776.0,7458.0,3655.0,963.5,2504.5,914.5
1,12,3000000,573670.0,230.0,4201.0,1767.0,2824.0,5665.0,,1637.0,317.0,4373.0,14518.0,2942.0,1084.0,1803.0,611.0
2,4,3000000,1560789.0,625.0,1542.0,1353.0,2311.0,3684.0,,814.0,742.0,1508.0,1551.0,1242.0,800.0,1804.5,904.5
2,8,3000000,1276953.5,511.5,2439.0,1657.0,2707.0,4625.5,,1110.5,994.0,2313.0,2747.0,712.5,762.0,1305.5,726.0
2,12,3000000,589480.0,236.0,3407.0,1760.0,2822.0,4891.0,,2501.0,1540.5,5812.5,13477.5,906.0,876.5,385.0,375.0
