NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
24,2,5,4,3000000,19.297792,20.426029,35.016049,43.770061,46.688065
25,2,5,4,3000000,25.679084,29.180041,37.204552,41.581558,45.229063
27,2,5,4,3000000,26.589672,29.763642,36.475051,49.606069,51.065071
28,2,5,4,3000000,34.970793,40.268456,51.794573,57.387414,58.360082
30,2,5,4,3000000,39.079714,43.770061,53.496742,61.278086,62.737088
31,2,5,4,3000000,44.861253,55.442078,67.114094,81.704114,90.458127
32,2,5,4,3000000,40.837405,52.524074,58.360082,64.779691,67.843595
34,2,5,4,3000000,46.060799,49.606069,70.032098,87.540123,107.966151
35,2,5,4,3000000,46.817516,54.469410,65.655092,107.966151,110.884155
36,2,5,4,3000000,37.498879,40.852057,65.655092,72.950102,75.868106
37,2,5,4,3000000,37.157917,45.715397,58.360082,64.196090,67.114094
38,2,5,4,3000000,42.955227,46.688065,81.704114,96.294135,102.130143
39,2,5,4,3000000,33.752439,35.016049,58.360082,75.868106,75.868106
40,2,5,4,3000000,30.791891,28.207373,60.548585,93.376131,93.376131
