NO,compactor,current_node_id,thread,ops_per_thread,type,time
24,2,1,4,3000000,local,0
24,2,1,4,3000000,node 0,9
25,2,1,4,3000000,local,3
25,2,1,4,3000000,node 0,5
27,2,1,4,3000000,local,4
27,2,1,4,3000000,node 0,8
28,2,1,4,3000000,local,1
28,2,1,4,3000000,node 0,7
30,2,1,4,3000000,local,13
30,2,1,4,3000000,node 0,15
30,2,1,4,3000000,node 5,1
31,2,1,4,3000000,local,9
31,2,1,4,3000000,node 0,13
32,2,1,4,3000000,local,8
32,2,1,4,3000000,node 0,13
34,2,1,4,3000000,local,14
34,2,1,4,3000000,node 0,8
35,2,1,4,3000000,local,9
35,2,1,4,3000000,node 0,7
36,2,1,4,3000000,local,9
36,2,1,4,3000000,node 0,8
37,2,1,4,3000000,local,5
37,2,1,4,3000000,node 0,6
38,2,1,4,3000000,local,20
38,2,1,4,3000000,node 0,10
39,2,1,4,3000000,local,11
39,2,1,4,3000000,node 0,9
40,2,1,4,3000000,local,9
40,2,1,4,3000000,node 0,4
