NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
9,0,2,4,3000000,1031024,413.0,2074,1590,2600,4106,0,1583,1721,3096,3096,774,972,0,0
10,0,2,4,3000000,951246,381.0,2306,1648,2692,4837,0,827,367,2434,2580,880,994,0,1085
11,0,2,8,3000000,1213258,486.0,2450,1735,2672,4466,0,730,276,1968,3163,601,766,0,1063
12,0,2,8,3000000,1219923,488.6,2513,1746,2795,4811,0,680,186,1992,2963,507,867,0,1131
13,0,2,12,3000000,1232914,493.8,3543,1750,2738,4722,0,507,211,1964,3037,527,922,0,795
14,0,2,12,3000000,1194471,478.4,3873,1720,2736,5281,0,566,199,1952,3598,561,810,0,886
15,0,2,16,3000000,1149824,460.6,5061,1731,2776,5534,0,471,233,1899,2683,571,955,0,667
16,0,2,16,3000000,1165634,466.9,4792,1803,2867,5565,0,452,210,1854,2731,636,965,0,760
17,1,2,4,3000000,1469686,588.7,1662,1356,2202,3798,0,338,218,722,1669,2991,921,0,949
18,1,2,4,3000000,2066119,827.6,1271,1138,1684,3162,0,394,369,745,893,3803,1020,0,891
19,1,2,8,3000000,824915,330.4,2747,1747,2769,4990,0,979,511,1969,5905,3231,1000,0,531
20,1,2,8,3000000,999883,400.5,1358,1718,2772,5630,0,566,260,1307,4834,3706,919,0,673
21,1,2,12,3000000,688921,275.9,2127,1764,2727,4582,0,1112,888,2089,5869,2052,945,0,317
22,1,2,12,3000000,648703,259.8,3214,1743,2680,4731,0,1000,717,1620,5657,2611,1038,0,272
24,1,2,16,3000000,640196,256.4,810,1803,2740,4229,0,1355,1233,2671,6063,1960,910,0,194
25,1,2,16,3000000,610553,244.6,2129,1766,2677,4156,0,1211,845,2132,5809,2246,970,0,237
