NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
25,1,2,4,1000000,1504844,602.8,1595,1383,2538,4223,0,247,203,536,536,4322,1076,0,1057
26,1,2,4,1000000,1784565,714.8,1385,1156,2186,3893,0,251,215,337,337,3024,1057,0,0
27,1,2,8,1000000,1338507,536.1,1946,1729,2839,4927,0,205,162,392,806,5202,1103,0,1156
28,1,2,8,1000000,1344118,538.4,1923,1721,2784,4987,0,217,174,349,843,4233,1098,0,1170
29,1,2,16,1000000,1371122,549.2,2062,1766,2754,4798,0,192,182,268,583,5103,1121,0,1134
30,1,2,16,1000000,1368660,548.2,1975,1761,2619,4245,0,178,159,278,635,5405,1129,0,1169
31,1,2,32,1000000,1160343,464.8,6185,1805,2754,4585,0,361,173,738,3205,4657,1066,0,938
32,1,2,32,1000000,1201563,481.3,1359,1892,2888,4487,0,292,178,354,3784,4437,1032,0,1026
33,1,2,48,1000000,768506,307.8,7499,1851,2877,4864,0,971,323,2278,6354,4038,956,0,520
34,1,2,48,1000000,735707,294.7,9710,1842,2833,4500,0,1169,671,2875,5270,3982,1022,0,429
35,0,2,4,1000000,1272209,509.6,1779,1578,2741,4596,0,585,395,1467,1467,0,913,0,0
36,0,2,4,1000000,957091,383.4,2540,1562,2729,4659,0,538,428,1457,1457,1863,908,0,1019
37,0,2,8,1000000,1442440,577.8,1911,1657,2747,4575,0,781,759,1906,1906,1541,808,0,0
38,0,2,8,1000000,1449099,580.4,1944,1656,2731,4691,0,771,702,1791,1791,1069,932,0,0
39,0,2,16,1000000,1356875,543.5,2295,1869,2876,4793,0,481,255,1090,1261,1744,981,0,1024
40,0,2,16,1000000,1300034,520.7,2287,1857,2856,4813,0,451,175,1031,2210,979,955,0,1097
41,0,2,32,1000000,1186794,475.4,5880,1924,3003,5005,0,770,265,2192,2738,789,815,0,961
42,0,2,32,1000000,1167717,467.7,6474,1858,2936,5016,0,588,269,1969,2363,747,772,0,742
43,0,2,48,1000000,1028424,411.9,14281,1923,2986,5191,0,629,415,2033,2701,436,496,0,471
44,0,2,48,1000000,1058373,423.9,11913,1891,2968,5896,0,560,342,1544,2624,564,729,0,503
