NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99


3,2,16,1000000,4,1,22,22,22,22,22,22,22,22
3,2,16,1000000,4,2,681511,681511,681511,681511,681511,681511,681511,681511
3,2,16,1000000,4,3,31,31,31,31,31,31,31,31


5,2,32,1000000,4,1,159,16,16,16,49,580,580,580
5,2,32,1000000,4,2,258148,183051,183051,183051,226555,356752,356752,356752
5,2,32,1000000,4,3,22,17,17,17,24,27,27,27

6,2,32,1000000,3,1,67,33,33,33,102,102,102,102
6,2,32,1000000,3,2,282855,237979,237979,237979,327732,327732,327732,327732
6,2,32,1000000,3,3,46,33,33,33,60,60,60,60
6,2,32,1000000,4,1,1398,19,19,24,42,426,17043,17043
6,2,32,1000000,4,2,276640,152633,152633,177574,254945,411599,478050,478050
6,2,32,1000000,4,3,34,17,17,22,42,45,47,47


8,2,48,1000000,3,1,82,41,41,41,78,126,126,126
8,2,48,1000000,3,2,511545,168101,168101,168101,341249,991239,991239,991239
8,2,48,1000000,3,3,57,32,32,32,49,110,110,110
8,2,48,1000000,4,1,7543,18,18,29,71,6777,112017,112017
8,2,48,1000000,4,2,333110,98951,98951,131443,283365,658547,836936,836936
8,2,48,1000000,4,3,23,18,18,18,21,35,41,41

9,2,48,1000000,3,1,74,54,54,54,65,136,136,136
9,2,48,1000000,3,2,377251,232129,232129,232129,436537,488157,488157,488157
9,2,48,1000000,3,3,50,31,31,31,47,101,101,101
9,2,48,1000000,4,1,8086,41,41,41,78,65040,65040,65040
9,2,48,1000000,4,2,311016,120063,120063,120063,324147,644343,644343,644343
9,2,48,1000000,4,3,26,14,14,14,24,53,53,53


