NO,compactor,current_node_id,thread,ops_per_thread,type,time
1,2,3,8,1000000,local,10
1,2,3,8,1000000,node 0,2

2,2,3,8,1000000,local,12
2,2,3,8,1000000,node 0,4

3,2,3,16,1000000,local,12
3,2,3,16,1000000,node 0,5
3,2,3,16,1000000,node 1,1

4,2,3,16,1000000,local,10
4,2,3,16,1000000,node 0,7

5,2,3,32,1000000,local,36
5,2,3,32,1000000,node 0,8
5,2,3,32,1000000,node 1,5

6,2,3,32,1000000,local,29
6,2,3,32,1000000,node 0,8
6,2,3,32,1000000,node 1,15


8,2,3,48,1000000,local,69
8,2,3,48,1000000,node 0,9
8,2,3,48,1000000,node 1,25

9,2,3,48,1000000,local,73
9,2,3,48,1000000,node 0,12
9,2,3,48,1000000,node 1,15


