compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
0,32,1000000,1,1,12,3,3,4,6,70,70,70
0,32,1000000,1,2,58782,18,22,24,59,353968,520319,863970
0,32,1000000,1,3,2979329,1474408,1765538,1996271,3120652,3550170,3791065,3953638
0,32,1000000,1,4,188017,50129,65381,79193,142046,340744,500076,1101334

0,32,1000000,2,2,16768,12551,12551,12551,20986,20986,20986,20986
0,32,1000000,2,3,985610,553061,553061,553061,1418159,1418159,1418159,1418159
0,32,1000000,2,4,70032,26198,26198,26198,113866,113866,113866,113866

0,32,1000000,3,1,7,3,3,3,6,20,20,20
0,32,1000000,3,2,1537,1,1,1,14,4419,6541,17144
0,32,1000000,3,3,860128,337114,378134,494865,841088,1291356,1491108,1511394
0,32,1000000,3,4,130030,11742,13843,16470,72169,437575,648678,649462

0,32,1000000,4,2,8669,114,117,121,222,7022,106410,149613
0,32,1000000,4,3,880986,221405,242925,371358,900500,1340407,1389959,1422695
0,32,1000000,4,4,172455,12215,15564,21956,140792,534629,623019,640201





1,32,1000000,1,1,14077,57,57,82,216,66848,89993,89993
1,32,1000000,1,2,5108695,534628,534628,602957,2258051,15101590,18591798,18591798
1,32,1000000,1,3,1076,45,45,61,454,2823,5826,5826

1,32,1000000,2,1,28783,19,19,19,2694,115625,115625,115625
1,32,1000000,2,2,428937,184962,184962,184962,400762,747061,747061,747061
1,32,1000000,2,3,98,16,16,16,35,247,247,247

1,32,1000000,3,1,317,30,30,39,107,1269,1269,1269
1,32,1000000,3,2,2035121,666658,666658,666658,2061981,3497616,3497616,3497616
1,32,1000000,3,3,61,34,34,34,62,110,110,110

1,32,1000000,4,1,2092,16,17,17,34,94,132,43098
1,32,1000000,4,2,1247665,192811,250572,298782,1350422,2190610,3073219,3073219
1,32,1000000,4,3,40,12,13,17,32,83,158,158
