NO,compactor,current_node_id,thread,ops_per_thread,type,time
38,2,1,4,3000000,local,12
38,2,1,4,3000000,node 0,11
38,2,1,4,3000000,node 5,2
39,2,1,4,3000000,local,11
39,2,1,4,3000000,node 0,7
39,2,1,4,3000000,node 5,1
40,2,1,4,3000000,local,15
40,2,1,4,3000000,node 0,13
41,2,1,4,3000000,local,7
41,2,1,4,3000000,node 0,12
42,2,1,4,3000000,local,13
42,2,1,4,3000000,node 0,13
43,2,1,4,3000000,local,7
43,2,1,4,3000000,node 0,7
44,2,1,4,3000000,local,9
44,2,1,4,3000000,node 0,12
46,2,1,4,3000000,local,8
46,2,1,4,3000000,node 0,10
