NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,comp avg,comp p50,comp p90,comp speed1,comp speed2,comp speed3,comp speed4
8,0,0,1,3000000,800390,320.6,897,1684,3290,357241888,259,507,510,0,1110,0,0
9,0,0,2,3000000,913028,365.7,1389,2502,3820,0,384,2350,2350,1256,970,0,794
10,0,0,2,3000000,955004,382.5,1324,2423,4001,0,397,2534,2534,1841,975,0,0
11,0,0,4,3000000,1363690,546.2,1391,2366,3866,777569312,766,2747,2747,1070,952,0,0
13,0,0,4,3000000,1314896,526.7,1470,2516,4082,0,1498,2223,2223,604,970,0,0
14,0,0,8,3000000,1169550,468.5,1710,2760,4655,0,901,3075,3828,933,506,0,854
15,0,0,8,3000000,1161790,465.3,1497,2497,4182,2133394464,267,3239,3677,309,353,0,681
16,0,0,10,3000000,1191683,477.3,1616,2662,4788,853992480,371,2386,3806,637,824,0,770
17,0,0,10,3000000,1086211,435.1,1412,2367,3999,0,427,3943,4434,616,812,0,492
18,1,0,1,3000000,835146,334.5,857,1503,3146,1637868576,270,624,624,0,1146,0,0
20,1,0,1,3000000,821321,329.0,876,1556,3200,0,242,425,498,0,1171,0,0
21,1,0,2,3000000,1337943,535.9,1047,1578,3191,1573397536,212,482,609,4396,1089,0,1100
22,1,0,2,3000000,1139030,456.2,1120,2052,3655,0,176,667,714,5952,1078,0,952
23,1,0,4,3000000,1924029,770.7,1202,1896,3337,0,257,519,937,4042,944,0,925
24,1,0,4,3000000,2123925,850.7,1121,1623,3138,0,342,1004,1232,3216,735,0,939
25,1,0,8,3000000,499324,200.0,1625,2639,4887,0,195,473,27293,3636,1055,0,925
26,1,0,8,3000000,499340,200.0,1626,2621,4604,1491616800,269,2760,21339,3091,982,0,632
27,1,0,10,3000000,436158,174.7,1731,2777,5653,1789150240,846,4219,14811,2612,996,0,321
28,1,0,10,3000000,450803,180.6,1503,2452,4090,0,698,3450,16572,2988,1074,0,402
