compactor,node_id,thread,ops per thread,throughput,bandwith,CN util avg,CN P50,CN P90,CN P99,MN util avg,MN P50,MN P90,MN P99,insert lat P50,insert P90,insert P99,insert P999
0,1,1,3000000,573600,229.8,1.666758,1.258389,3.355705,4.194631,0.112203,0.000000,0.419463,0.838926,939,1961,3418,5906
0,1,2,3000000,1122113,449.5,2.930801,1.048658,7.690157,14.471476,0.210185,0.000000,0.678476,1.614055,1110,1932,3558,6237
0,1,4,3000000,1460301,584.9,3.173887,0.838926,11.115772,20.134228,0.292326,0.139821,0.838926,1.619002,1429,2408,3987,7385
0,1,8,3000000,1362666,545.8,5.710348,1.048658,16.918344,24.958053,0.304403,0.206292,0.838926,1.635701,1465,2338,4171,8694
0,1,16,3000000,1022726,409.6,9.156189,1.677852,25.936801,34.395973,0.278100,0.104866,0.838926,1.618737,1712,2755,4712,9382
