compactor,node_id,thread,ops per thread,throughput,bandwith,CN util avg,CN P50,CN P90,CN P99,MN util avg,MN P50,MN P90,MN P99,insert lat P50,insert P90,insert P99,insert P999
1,1,1,3000000,783600,313.9,1.221505,0.838926,2.237136,3.565436,2.119630,2.376958,3.355705,3.984900,898,1842,3791,6588
1,1,2,3000000,1110330,444.8,1.463151,1.048658,3.215884,4.614094,4.733553,3.145974,11.185682,20.973154,1220,2054,4195,7223
1,1,4,3000000,1729604,692.8,2.023014,0.838926,5.872483,10.067114,10.222818,10.276846,19.994407,26.845637,1236,2028,3805,7046
1,1,8,3000000,1345825,539.0,3.620382,1.258389,9.857382,14.261745,13.598961,13.492729,25.167786,32.088926,1338,2189,3714,7022
1,1,16,3000000,1321730,529.4,6.006301,1.048658,18.036913,21.812081,17.207185,16.341583,29.991611,39.010067,1606,2614,4178,7337
