NO,compactor,current_node_id,thread,ops_per_thread,type,time
73,2,3,4,3000000,local,0
73,2,3,4,3000000,node 1,17
74,2,3,4,3000000,local,0
74,2,3,4,3000000,node 1,9
76,2,3,8,3000000,local,0
76,2,3,8,3000000,node 1,19
77,2,3,8,3000000,local,0
77,2,3,8,3000000,node 1,16
78,2,3,12,3000000,local,0
78,2,3,12,3000000,node 1,49
79,2,3,12,3000000,local,0
79,2,3,12,3000000,node 1,39
