NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
27,2,0,4,3000000,1260683,505.0,1756,1619,2546,4087,24,347,247,746,893,3164,939,3472,870
29,2,0,4,3000000,1246625,499.3,1747,1609,2511,3992,21,553,346,1541,1855,3262,846,2218,807
30,2,0,4,3000000,1379418,552.5,1729,1519,2541,4197,22,403,305,697,1404,3070,851,2062,1027
31,2,0,4,3000000,1647919,660.1,1485,1329,2205,3476,22,349,283,626,1111,3765,817,2138,777
33,2,0,4,3000000,2136781,855.9,1254,1148,1650,3225,18,333,312,542,561,4045,798,2764,1146
34,2,0,4,3000000,1353425,542.1,1682,1533,2434,4031,24,396,328,773,1311,3044,947,1949,759
36,2,0,4,3000000,1194439,478.4,1826,1670,2587,4457,19,352,260,650,1733,3773,847,3016,766
37,2,0,4,3000000,1333659,534.2,1749,1501,2399,4154,20,563,436,1220,2364,2568,751,1643,1073
