NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
27,2,0,4,3000000,24.115149,21.812081,56.208054,78.649329,78.649329
29,2,0,4,3000000,23.971846,20.973154,58.025727,80.746644,80.746644
30,2,0,4,3000000,27.421855,26.845638,62.919463,69.630872,80.746644
31,2,0,4,3000000,21.598109,9.228188,62.080537,68.791946,69.630872
33,2,0,4,3000000,20.748797,9.228188,54.530201,67.953020,67.953020
34,2,0,4,3000000,29.062413,27.684564,63.851603,80.746644,81.795302
36,2,0,4,3000000,22.109940,13.282998,62.919463,75.503356,76.552013
37,2,0,4,3000000,23.075718,10.486577,62.080537,81.795302,81.795302
