NO,compactor,current_node_id,thread,ops_per_thread,type,time
27,2,1,4,3000000,local,10
27,2,1,4,3000000,node 0,20
29,2,1,4,3000000,local,12
29,2,1,4,3000000,node 0,15
30,2,1,4,3000000,local,9
30,2,1,4,3000000,node 0,17
31,2,1,4,3000000,local,11
31,2,1,4,3000000,node 0,14
31,2,1,4,3000000,node 3,1
33,2,1,4,3000000,local,6
33,2,1,4,3000000,node 0,11
34,2,1,4,3000000,local,7
34,2,1,4,3000000,node 0,22
36,2,1,4,3000000,local,15
36,2,1,4,3000000,node 0,18
36,2,1,4,3000000,node 3,1
37,2,1,4,3000000,local,7
37,2,1,4,3000000,node 0,9
37,2,1,4,3000000,node 3,1
