thread,ops per thread,throughput,bandwith,CN util avg,CN P50,CN P90,CN P99,MN util avg,MN P50,MN P90,MN P99,insert lat P50,insert P90,insert P99,insert P999
1,5000000,840212,336.5,0.867044,1.258389,1.258389,1.468120,0.065197,0.279642,0.584533,0.838926,860,1653,2853,8877
2,5000000,1270844,509.0,0.869487,1.258389,1.258389,1.258389,0.445990,0.586877,0.810139,1.136713,1056,1802,3008,8292
4,5000000,1623068,650.1,0.869723,1.258389,1.258389,1.258389,0.351196,0.559542,1.004427,1.091764,1348,2302,3765,12562
8,5000000,1684323,674.6,0.869305,1.258389,1.258389,1.258389,0.358864,0.502955,0.731753,1.112175,1368,2356,4170,12730
16,5000000,1556906,623.6,0.867744,1.258389,1.258389,1.468120,0.438770,0.589651,0.818450,1.180713,1610,2594,4490,10261
