thread,ops per thread,throughput,bandwith,CN util avg,CN P50,CN P90,CN P99,MN util avg,MN P50,MN P90,MN P99,insert lat P50,insert P90,insert P99,insert P999
8,5000000,2106301,843.7,0.870487,1.258389,1.258389,1.258389,0.125117,0.419463,0.870584,1.620653,1343,2133,3336,8216
8,5000000,1717086,687.8,0.864964,1.258389,1.258389,1.258389,0.727570,0.727570,0.727570,0.727570,1473,2401,3942,12845
16,5000000,1493168,598,11,29,49,44,0,0,1,2,1718,2826,4844,9724
16,5000000,1490655,597,11,28,38,42,0,0,1,2,1749,2816,4666,10576
32,5000000,1002786,401.7,22,47,57,61,0,1,1,2,1960,3211,5764,15985
32,5000000,939711,376.4,22,47,57,61,0,1,1,2,2230,3719,6470,15103
