NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
1,0,0,8,1000000,1558155,624.1,1776,1527,2606,4720,0,622,714,1120,1120,1273,1095,0,1099
2,0,0,8,1000000,1409439,564.5,1887,1648,2738,4960,0,566,577,1065,1065,1906,1045,0,1058
3,0,0,8,1000000,1448883,580.3,1849,1581,2663,4799,0,723,773,1693,1693,1213,980,0,1312
4,0,0,8,1000000,1290507,516.9,2008,1697,2807,4782,0,591,587,875,998,1999,1091,0,1137
5,0,0,8,1000000,1491865,597.6,1792,1560,2675,4689,0,597,574,1139,1139,1871,1108,0,0
6,0,0,8,1000000,1371210,549.2,1914,1690,2811,4804,0,386,446,558,659,2564,1077,746,1177
7,0,0,8,1000000,1474433,590.6,1818,1577,2663,4723,0,444,554,683,851,2406,1090,0,1251
8,0,0,8,1000000,1448375,580.1,1838,1596,2703,4809,0,539,570,693,1157,2352,1068,1460,1384
9,1,0,8,1000000,1377384,551.7,1849,1654,2747,4763,0,498,401,871,1064,2118,999,0,1052
10,1,0,8,1000000,1473581,590.2,1817,1566,2619,4601,0,605,469,1039,1039,1905,1052,0,0
12,1,0,8,1000000,1419643,568.6,1828,1629,2720,4758,0,567,672,955,955,2125,1104,0,0
13,1,0,8,1000000,1390284,556.9,1857,1643,2730,4819,0,652,774,1111,1111,1945,999,0,0
14,1,0,8,1000000,1326882,531.5,1845,1653,2703,4737,0,603,433,1288,1288,1766,1079,0,716
16,1,0,8,1000000,1360957,545.1,1850,1665,2744,4729,0,505,404,832,1104,2098,1123,0,797
17,1,0,8,1000000,1386814,555.5,1895,1692,2778,4839,0,535,541,951,1297,1868,1133,0,1295
18,1,0,8,1000000,1331926,533.5,1868,1630,2716,4759,0,498,497,947,947,1882,1183,0,1430
