NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
1,0,8,1000000,1,1,8,7,7,7,7,14,14,14
1,0,8,1000000,1,2,11491,9,12,14,37,83632,108415,109100
1,0,8,1000000,1,3,660890,267119,412778,444071,650582,915527,964584,1046886
1,0,8,1000000,1,4,81577,4512,4604,5809,17600,243509,354948,408218
1,0,8,1000000,2,2,12295,322,322,322,6688,29876,29876,29876
1,0,8,1000000,2,3,257113,163562,163562,163562,245234,362544,362544,362544
1,0,8,1000000,2,4,27055,16013,16013,16013,26445,38707,38707,38707

2,0,8,1000000,1,1,10,5,5,5,10,24,24,24
2,0,8,1000000,1,2,23206,9,14,19,57,74170,226600,418106
2,0,8,1000000,1,3,536685,128961,246457,317467,480615,866412,925502,1013891
2,0,8,1000000,1,4,42025,1957,3728,5729,11396,81243,170798,740367
2,0,8,1000000,2,2,7719,468,468,468,8768,13922,13922,13922
2,0,8,1000000,2,3,270019,111804,111804,111804,276920,421334,421334,421334
2,0,8,1000000,2,4,26426,11842,11842,11842,27099,40337,40337,40337
2,0,8,1000000,4,2,18063,17116,17116,17116,19011,19011,19011,19011
2,0,8,1000000,4,3,232438,215843,215843,215843,249033,249033,249033,249033
2,0,8,1000000,4,4,24687,23681,23681,23681,25693,25693,25693,25693

3,0,8,1000000,1,1,17,12,12,12,18,27,27,27
3,0,8,1000000,1,2,68651,12,17,20,64,157024,523178,923361
3,0,8,1000000,1,3,645999,175580,292545,431001,625731,935028,1219480,1223313
3,0,8,1000000,1,4,73887,2805,3388,4291,21928,284456,367852,451426
3,0,8,1000000,2,2,12059,10129,10129,10129,11633,14416,14416,14416
3,0,8,1000000,2,3,354422,165217,165217,165217,342924,555127,555127,555127
3,0,8,1000000,2,4,30433,15795,15795,15795,31436,44070,44070,44070
3,0,8,1000000,4,2,125,125,125,125,125,125,125,125
3,0,8,1000000,4,3,174923,174923,174923,174923,174923,174923,174923,174923
3,0,8,1000000,4,4,23131,23131,23131,23131,23131,23131,23131,23131

4,0,8,1000000,1,1,13,5,5,5,11,34,34,34
4,0,8,1000000,1,2,4689,9,10,13,27,159,77086,77574
4,0,8,1000000,1,3,508325,237592,305148,350368,508637,723284,747584,812247
4,0,8,1000000,1,4,129012,3695,4408,7856,49182,330778,363308,462651
4,0,8,1000000,2,2,11141,6554,6554,6554,13203,13668,13668,13668
4,0,8,1000000,2,3,278458,156890,156890,156890,256702,421782,421782,421782
4,0,8,1000000,2,4,27821,16458,16458,16458,26334,40672,40672,40672
4,0,8,1000000,4,2,16999,16999,16999,16999,16999,16999,16999,16999
4,0,8,1000000,4,3,188970,188970,188970,188970,188970,188970,188970,188970
4,0,8,1000000,4,4,28133,28133,28133,28133,28133,28133,28133,28133

5,0,8,1000000,1,1,13,5,5,5,12,28,28,28
5,0,8,1000000,1,2,18825,10,12,12,73,81011,155034,244244
5,0,8,1000000,1,3,506726,223457,236193,312236,529920,719552,760260,805953
5,0,8,1000000,1,4,102705,2938,3038,3564,20785,411182,476324,500010
5,0,8,1000000,2,2,9497,294,294,294,14699,15915,15915,15915
5,0,8,1000000,2,3,270220,99834,99834,99834,309704,476838,476838,476838
5,0,8,1000000,2,4,33796,10832,10832,10832,31202,72331,72331,72331

6,0,8,1000000,1,1,10,3,3,3,6,22,22,22
6,0,8,1000000,1,2,6630,7,8,13,28,188,76764,230721
6,0,8,1000000,1,3,372309,177682,235938,258852,355524,509176,576737,637234
6,0,8,1000000,1,4,14399,3068,3507,5416,8404,20310,76148,91363
6,0,8,1000000,2,2,7177,585,585,585,7250,13696,13696,13696
6,0,8,1000000,2,3,282983,163268,163268,163268,268865,416818,416818,416818
6,0,8,1000000,2,4,27277,16053,16053,16053,26355,39423,39423,39423
6,0,8,1000000,3,1,2,2,2,2,2,2,2,2
6,0,8,1000000,3,2,9,1,1,1,13,13,13,13
6,0,8,1000000,4,2,15973,9488,9488,9488,18239,24071,24071,24071
6,0,8,1000000,4,3,161699,134609,134609,134609,168344,178468,178468,178468
6,0,8,1000000,4,4,19053,16160,16160,16160,20032,20140,20140,20140

7,0,8,1000000,1,1,12,5,5,5,8,37,37,37
7,0,8,1000000,1,2,15132,5,14,17,49,82328,107197,449412
7,0,8,1000000,1,3,499347,207574,250349,350558,497746,666976,765265,830822
7,0,8,1000000,1,4,28638,1928,2977,3583,13991,80399,104479,184683
7,0,8,1000000,2,2,8321,301,301,301,10513,15981,15981,15981
7,0,8,1000000,2,3,266122,105138,105138,105138,300290,456082,456082,456082
7,0,8,1000000,2,4,42951,10608,10608,10608,30530,109844,109844,109844
7,0,8,1000000,4,2,7299,136,136,136,14463,14463,14463,14463
7,0,8,1000000,4,3,155453,93545,93545,93545,217362,217362,217362,217362
7,0,8,1000000,4,4,18212,10552,10552,10552,25873,25873,25873,25873

8,0,8,1000000,1,1,16,6,6,6,20,29,29,29
8,0,8,1000000,1,2,65043,10,12,13,43,194871,545222,930758
8,0,8,1000000,1,3,504571,117224,244478,351937,471880,713043,845621,1034670
8,0,8,1000000,1,4,27525,2732,3328,4668,12262,88346,100091,262385
8,0,8,1000000,2,2,10255,6542,6542,6542,9670,14554,14554,14554
8,0,8,1000000,2,3,326700,158805,158805,158805,310985,510312,510312,510312
8,0,8,1000000,2,4,30362,15762,15762,15762,30259,45067,45067,45067
8,0,8,1000000,3,1,7,7,7,7,7,7,7,7
8,0,8,1000000,3,2,6,2,2,2,11,11,11,11
8,0,8,1000000,3,3,177777,93603,93603,93603,261951,261951,261951,261951
8,0,8,1000000,3,4,16393,6412,6412,6412,26374,26374,26374,26374
8,0,8,1000000,4,2,111,111,111,111,111,111,111,111
8,0,8,1000000,4,3,175223,175223,175223,175223,175223,175223,175223,175223
8,0,8,1000000,4,4,22701,22701,22701,22701,22701,22701,22701,22701

9,1,8,1000000,1,1,792,41,41,41,73,5068,5068,5068
9,1,8,1000000,1,2,594406,339029,339029,339029,598486,1047589,1047589,1047589
9,1,8,1000000,1,3,84,43,43,43,96,137,137,137
9,1,8,1000000,2,1,24,20,20,20,26,26,26,26
9,1,8,1000000,2,2,387438,194847,194847,194847,339130,628338,628338,628338
9,1,8,1000000,2,3,39,31,31,31,32,56,56,56
9,1,8,1000000,4,1,60,15,15,15,106,106,106,106
9,1,8,1000000,4,2,276383,218777,218777,218777,333990,333990,333990,333990
9,1,8,1000000,4,3,18,16,16,16,20,20,20,20

10,1,8,1000000,1,1,5351,63,63,63,142,21125,21125,21125
10,1,8,1000000,1,2,708556,296206,296206,296206,904264,925199,925199,925199
10,1,8,1000000,1,3,128,38,38,38,166,181,181,181
10,1,8,1000000,2,1,46,20,20,20,51,77,77,77
10,1,8,1000000,2,2,472445,176561,176561,176561,463473,990808,990808,990808
10,1,8,1000000,2,3,64,35,35,35,45,136,136,136


12,1,8,1000000,1,1,80,50,50,50,86,116,116,116
12,1,8,1000000,1,2,684140,241452,241452,241452,908239,939378,939378,939378
12,1,8,1000000,1,3,164,101,101,101,176,247,247,247
12,1,8,1000000,2,1,32,14,14,14,44,54,54,54
12,1,8,1000000,2,2,414336,104401,104401,104401,354942,913994,913994,913994
12,1,8,1000000,2,3,61,17,17,17,66,99,99,99

13,1,8,1000000,1,1,82,38,38,38,74,135,135,135
13,1,8,1000000,1,2,748278,277381,277381,277381,876775,1091352,1091352,1091352
13,1,8,1000000,1,3,150,53,53,53,175,273,273,273
13,1,8,1000000,2,1,10051,34,34,34,2875,37236,37236,37236
13,1,8,1000000,2,2,481223,105557,105557,105557,527053,1004627,1004627,1004627
13,1,8,1000000,2,3,55,26,26,26,54,108,108,108

14,1,8,1000000,1,1,4246,104,104,104,143,20207,20207,20207
14,1,8,1000000,1,2,615484,271715,271715,271715,798180,1027978,1027978,1027978
14,1,8,1000000,1,3,87,33,33,33,56,224,224,224
14,1,8,1000000,2,1,28,17,17,17,31,38,38,38
14,1,8,1000000,2,2,428469,179103,179103,179103,418815,820409,820409,820409
14,1,8,1000000,2,3,38,15,15,15,46,54,54,54
14,1,8,1000000,4,1,25,25,25,25,25,25,25,25
14,1,8,1000000,4,2,325920,325920,325920,325920,325920,325920,325920,325920
14,1,8,1000000,4,3,61,61,61,61,61,61,61,61


16,1,8,1000000,1,1,270,62,62,62,84,1193,1193,1193
16,1,8,1000000,1,2,526675,243045,243045,243045,594413,769321,769321,769321
16,1,8,1000000,1,3,98,54,54,54,96,188,188,188
16,1,8,1000000,2,1,38,19,19,19,33,72,72,72
16,1,8,1000000,2,2,399344,106777,106777,106777,387568,823806,823806,823806
16,1,8,1000000,2,3,42,14,14,14,25,110,110,110
16,1,8,1000000,4,1,35,23,23,23,47,47,47,47
16,1,8,1000000,4,2,237245,196357,196357,196357,278133,278133,278133,278133
16,1,8,1000000,4,3,36,13,13,13,59,59,59,59

17,1,8,1000000,1,1,64,33,33,33,73,108,108,108
17,1,8,1000000,1,2,616768,293943,293943,293943,625155,906997,906997,906997
17,1,8,1000000,1,3,88,55,55,55,88,132,132,132
17,1,8,1000000,2,1,29,16,16,16,33,45,45,45
17,1,8,1000000,2,2,289251,105656,105656,105656,308873,523045,523045,523045
17,1,8,1000000,2,3,37,22,22,22,41,59,59,59
17,1,8,1000000,4,1,71,71,71,71,71,71,71,71
17,1,8,1000000,4,2,178601,178601,178601,178601,178601,178601,178601,178601
17,1,8,1000000,4,3,37,37,37,37,37,37,37,37

18,1,8,1000000,1,1,65,52,52,52,67,81,81,81
18,1,8,1000000,1,2,655758,351223,351223,351223,646303,930950,930950,930950
18,1,8,1000000,1,3,72,41,41,41,43,131,131,131
18,1,8,1000000,2,1,46,31,31,31,53,63,63,63
18,1,8,1000000,2,2,331184,165217,165217,165217,353175,546266,546266,546266
18,1,8,1000000,2,3,35,19,19,19,40,51,51,51
18,1,8,1000000,4,1,109,109,109,109,109,109,109,109
18,1,8,1000000,4,2,218783,218783,218783,218783,218783,218783,218783,218783
18,1,8,1000000,4,3,17,17,17,17,17,17,17,17

