NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
1,0,0,8,1000000,1216180,487.1,2034,1614,2667,4899,0,520,597,884,953,1903,1099,0,1341
2,0,0,8,1000000,1233597,494.1,2106,1595,2627,4875,0,539,624,944,1007,1928,1099,0,1272
3,0,0,8,1000000,1250826,501.0,2033,1612,2655,4785,0,556,638,924,987,1875,1079,0,1337
4,0,0,8,1000000,1201453,481.2,2156,1639,2714,4851,0,433,569,697,710,2124,1085,1404,1378
5,0,0,8,1000000,1202538,481.7,2158,1584,2744,6242,0,676,871,1027,1027,1631,851,0,1302
6,0,0,8,1000000,1111113,445.0,2533,1692,3001,7702,0,460,527,701,1120,1923,891,0,1161
7,0,0,8,1000000,1217310,487.6,2174,1691,2778,4787,0,518,641,881,913,1914,1236,0,1093
8,0,0,8,1000000,1242325,497.6,2123,1652,2720,4719,0,443,498,690,749,2283,1151,0,1323
10,1,0,8,1000000,1209399,484.4,2212,1798,2901,6752,0,900,721,2266,2266,956,803,0,0
11,1,0,8,1000000,1217918,487.8,2161,1778,2883,6698,0,701,636,1492,1492,1433,813,0,0
12,1,0,8,1000000,1317741,527.8,1987,1700,2646,4870,0,480,468,940,1020,1881,1173,0,1328
13,1,0,8,1000000,1290063,516.7,1958,1695,2651,4912,0,594,527,1281,1281,1886,1099,0,0
14,1,0,8,1000000,1217369,487.6,2190,1791,2901,6399,0,754,638,1868,1868,1254,940,0,0
15,1,0,8,1000000,1305502,522.9,1998,1672,2638,4821,0,567,358,1128,1356,1917,1155,0,1306
16,1,0,8,1000000,1305405,522.9,1974,1685,2645,4784,0,488,443,797,903,1982,1092,0,1223
18,1,0,8,1000000,1225403,490.8,2212,1787,2879,7200,0,700,745,1775,1775,1354,857,0,0
19,1,0,8,1000000,1268004,507.9,1963,1667,2637,4836,0,327,363,559,573,2433,1199,2406,1343
