NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
1,0,8,1000000,1,1,5,4,4,4,6,6,6,6
1,0,8,1000000,1,2,8010,7,8,11,21,1544,109556,109730
1,0,8,1000000,1,3,558230,271780,293427,371975,570259,724492,811235,868201
1,0,8,1000000,1,4,30311,8639,11456,13989,25652,48688,66230,85096
1,0,8,1000000,2,2,6037,387,387,387,8220,12906,12906,12906
1,0,8,1000000,2,3,281929,103597,103597,103597,243870,550150,550150,550150
1,0,8,1000000,2,4,27864,10672,10672,10672,27428,50893,50893,50893
1,0,8,1000000,4,2,308,308,308,308,308,308,308,308
1,0,8,1000000,4,3,184482,184482,184482,184482,184482,184482,184482,184482
1,0,8,1000000,4,4,23056,23056,23056,23056,23056,23056,23056,23056

2,0,8,1000000,1,1,4,2,2,2,4,12,12,12
2,0,8,1000000,1,2,6256,5,6,7,15,44,83731,87416
2,0,8,1000000,1,3,546777,238587,359964,388647,548449,761221,880526,929552
2,0,8,1000000,1,4,32168,5015,10687,13048,27259,55129,80166,97198
2,0,8,1000000,2,2,4214,205,205,205,508,11990,11990,11990
2,0,8,1000000,2,3,273674,113917,113917,113917,251693,504425,504425,504425
2,0,8,1000000,2,4,40109,11753,11753,11753,27647,109377,109377,109377
2,0,8,1000000,4,2,133,133,133,133,133,133,133,133
2,0,8,1000000,4,3,164301,164301,164301,164301,164301,164301,164301,164301
2,0,8,1000000,4,4,19448,19448,19448,19448,19448,19448,19448,19448

3,0,8,1000000,1,1,5,4,4,4,6,8,8,8
3,0,8,1000000,1,2,14992,10,10,10,18,21638,135081,135276
3,0,8,1000000,1,3,618380,426680,431898,441410,602136,785872,790482,869832
3,0,8,1000000,1,4,45012,15837,20698,22021,34884,81438,83492,151835
3,0,8,1000000,2,2,8621,349,349,349,10626,13587,13587,13587
3,0,8,1000000,2,3,278727,104683,104683,104683,256124,532468,532468,532468
3,0,8,1000000,2,4,44810,10610,10610,10610,25361,137216,137216,137216
3,0,8,1000000,4,2,112,112,112,112,112,112,112,112
3,0,8,1000000,4,3,197584,197584,197584,197584,197584,197584,197584,197584
3,0,8,1000000,4,4,23871,23871,23871,23871,23871,23871,23871,23871

4,0,8,1000000,1,1,12,4,4,4,8,36,36,36
4,0,8,1000000,1,2,14471,8,8,8,22,74412,74565,168300
4,0,8,1000000,1,3,486097,197648,252845,335284,496467,617313,627218,677073
4,0,8,1000000,1,4,24377,1969,7715,10631,23101,36850,40157,69060
4,0,8,1000000,2,2,6143,201,201,201,7995,14050,14050,14050
4,0,8,1000000,2,3,260465,120179,120179,120179,191072,527668,527668,527668
4,0,8,1000000,2,4,24639,10607,10607,10607,21267,44608,44608,44608
4,0,8,1000000,3,1,2,2,2,2,2,2,2,2
4,0,8,1000000,3,2,6,1,1,1,11,11,11,11
4,0,8,1000000,3,3,183578,105892,105892,105892,261264,261264,261264,261264
4,0,8,1000000,3,4,16796,5948,5948,5948,27644,27644,27644,27644
4,0,8,1000000,4,2,157,120,120,120,194,194,194,194
4,0,8,1000000,4,3,205027,203752,203752,203752,206303,206303,206303,206303
4,0,8,1000000,4,4,25592,25438,25438,25438,25746,25746,25746,25746

5,0,8,1000000,1,1,4,3,3,3,4,8,8,8
5,0,8,1000000,1,2,17570,8,8,12,24,101953,120495,251965
5,0,8,1000000,1,3,710365,511905,521353,522010,671409,902636,959064,962439
5,0,8,1000000,1,4,53320,12964,20194,22881,40479,114813,123317,141288
5,0,8,1000000,2,2,7425,319,319,319,9727,11182,11182,11182
5,0,8,1000000,2,3,380561,149978,149978,149978,384575,690872,690872,690872
5,0,8,1000000,2,4,47585,13600,13600,13600,36685,113566,113566,113566

