compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
0.0,1.0,8.0,1000000.0,1142290.5,457.5,2118.0,1659.5,2770.0,4963.5,0.0,571.5,619.5,951.5,1120.0,1585.5,1018.0,0.0,1387.5
0.0,1.0,8.0,1000000.0,1207291.0,483.6,2037.0,1572.5,2668.0,4819.5,0.0,713.5,782.0,1474.0,1474.0,1483.5,983.5,0.0,0.0
0.0,1.0,8.0,1000000.0,1144462.0,458.4,2105.5,1668.5,2727.5,4759.0,0.0,578.0,572.5,1069.0,1190.5,1657.0,1127.0,0.0,704.0
0.0,1.0,8.0,1000000.0,1187510.0,475.65,2121.5,1611.5,2698.0,4844.5,0.0,711.0,674.0,1495.5,1495.5,1327.0,1021.5,0.0,1407.0
0.0,1.0,8.0,1000000.0,1162240.5,465.55,2112.0,1631.0,2740.0,4703.5,0.0,644.5,630.0,1210.0,1210.0,1596.5,930.5,0.0,0.0

1.0,1.0,8.0,1000000.0,1260509.5,504.9,1944.0,1625.0,2637.0,4688.5,0.0,547.0,472.5,924.0,1183.0,1929.5,1106.5,0.0,871.0
1.0,1.0,8.0,1000000.0,1216948.0,487.45,2003.0,1650.0,2696.0,5053.0,0.0,467.5,459.5,772.0,1054.5,2054.0,1051.0,0.0,1202.0
1.0,1.0,8.0,1000000.0,1242875.5,497.85,1992.5,1665.5,2634.5,4623.5,0.0,528.5,520.0,1183.5,1183.5,1766.5,1176.5,0.0,0.0
1.0,1.0,8.0,1000000.0,1226187.5,491.15,1982.5,1659.5,2645.0,4851.5,0.0,411.0,406.5,759.5,797.5,2296.5,1145.0,2387.5,1185.0
