NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99





6,2,32,1000000,3,1,1820,1820,1820,1820,1820,1820,1820,1820
6,2,32,1000000,3,2,532261,532261,532261,532261,532261,532261,532261,532261
6,2,32,1000000,3,3,67,67,67,67,67,67,67,67
6,2,32,1000000,4,1,1546,19,19,21,39,70,21159,21159
6,2,32,1000000,4,2,301245,107821,107821,128373,319861,501857,608486,608486
6,2,32,1000000,4,3,23,13,13,14,22,34,50,50

7,2,32,1000000,4,1,658,21,21,25,60,2415,5527,5527
7,2,32,1000000,4,2,264682,172068,172068,200436,242453,379467,383498,383498
7,2,32,1000000,4,3,28,17,17,20,24,48,62,62

8,2,48,1000000,3,1,71,40,40,40,48,248,248,248
8,2,48,1000000,3,2,378559,232956,232956,232956,420380,490256,490256,490256
8,2,48,1000000,3,3,42,32,32,32,44,52,52,52
8,2,48,1000000,4,1,397,22,23,26,45,317,3699,6055
8,2,48,1000000,4,2,347616,153637,160837,202574,345846,517671,598826,609950
8,2,48,1000000,4,3,29,16,18,20,26,46,50,55

9,2,48,1000000,3,1,64,37,37,38,55,94,120,120
9,2,48,1000000,3,2,450007,307579,307579,311771,501897,671867,671867,671867
9,2,48,1000000,3,3,54,39,39,41,57,71,71,71
9,2,48,1000000,4,1,1167,20,22,23,38,128,1690,28716
9,2,48,1000000,4,2,313325,144442,166040,196717,305107,428656,642026,698690
9,2,48,1000000,4,3,122,15,15,17,24,41,43,2546

