NO,compactor,current_node_id,thread,ops_per_thread,type,time
54,2,1,4,3000000,local,0
54,2,1,4,3000000,node 3,10
55,2,1,4,3000000,local,0
55,2,1,4,3000000,node 3,12
56,2,1,8,3000000,local,0
56,2,1,8,3000000,node 3,19
57,2,1,8,3000000,local,0
57,2,1,8,3000000,node 3,20
58,2,1,12,3000000,local,0
58,2,1,12,3000000,node 3,46
59,2,1,12,3000000,local,0
59,2,1,12,3000000,node 3,45
