compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
1.0,1.0,4.0,1000000.0,1912508.0,766.05,1367.0,1157.0,2038.5,3943.0,0.0,321.5,353.0,582.5,582.5,4011.5,868.5,0.0,1066.0
1.0,1.0,4.0,1000000.0,1313933.0,526.3,1692.5,1452.0,2611.5,4503.0,0.0,327.0,304.5,648.5,648.5,4094.0,1080.5,0.0,1177.0
1.0,1.0,4.0,1000000.0,1727300.0,691.85,1495.5,1298.0,2234.5,4142.5,0.0,286.0,243.5,619.5,619.5,4946.5,1115.5,0.0,1050.0
1.0,1.0,4.0,1000000.0,1840457.5,737.2,1410.5,1180.0,2117.5,4085.5,0.0,282.5,272.0,566.5,566.5,4205.0,1077.0,0.0,0.0
1.0,1.0,4.0,1000000.0,1729036.0,692.6,1468.5,1279.0,2178.0,4076.5,0.0,274.0,233.5,510.0,546.0,4415.0,1102.5,0.0,1065.0
0.0,1.0,4.0,1000000.0,1242272.0,497.6,1781.5,1439.5,2689.5,4550.5,0.0,576.0,423.0,1294.0,1294.0,1133.5,926.5,0.0,630.0
0.0,1.0,4.0,1000000.0,2026689.0,811.75,1301.0,1084.5,1793.0,3855.0,0.0,478.5,338.0,927.5,927.5,898.5,998.5,0.0,0.0
0.0,1.0,4.0,1000000.0,1413649.0,566.2,1611.0,1355.5,2611.5,4504.5,0.0,449.0,411.5,817.0,817.0,1593.0,943.0,0.0,0.0
0.0,1.0,4.0,1000000.0,1389998.0,556.75,1637.0,1403.0,2649.5,4434.0,0.0,446.5,372.5,1079.5,1079.5,2045.0,955.5,0.0,1091.0
0.0,1.0,4.0,1000000.0,1820336.0,729.15,1407.0,1132.0,2135.5,3981.0,0.0,481.0,646.5,786.5,786.5,1484.0,1011.5,0.0,0.0
