NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
1,0,32,1000000,1,1,6,3,3,3,5,9,20,20
1,0,32,1000000,1,2,13089,11,15,17,43,4861,17871,324798
1,0,32,1000000,1,3,2778890,559948,1214548,1664359,3023623,3539507,3643605,3766125
1,0,32,1000000,1,4,172370,76421,93816,105951,155379,273288,308989,456313
1,0,32,1000000,2,2,18003,2195,2195,2195,33811,33811,33811,33811
1,0,32,1000000,2,3,431069,368935,368935,368935,493204,493204,493204,493204
1,0,32,1000000,2,4,50771,50571,50571,50571,50971,50971,50971,50971
1,0,32,1000000,3,1,6,2,2,2,5,17,17,17
1,0,32,1000000,3,2,1341,1,2,2,18,2089,9315,21876
1,0,32,1000000,3,3,795622,300520,340581,404773,736577,1135134,1383535,1431718
1,0,32,1000000,3,4,71184,7656,8835,17106,42198,159037,242677,317107
1,0,32,1000000,4,2,707,120,122,126,198,1876,3657,3657
1,0,32,1000000,4,3,693595,328663,328663,352990,623398,1194346,1356010,1356010
1,0,32,1000000,4,4,99221,30670,30670,39204,69693,279883,364466,364466

2,0,32,1000000,1,1,6,2,2,3,6,11,16,16
2,0,32,1000000,1,2,10056,8,12,15,49,80,3288,282943
2,0,32,1000000,1,3,2628883,650718,851708,1158679,3015626,3511600,3579004,3648220
2,0,32,1000000,1,4,159285,11687,104636,107507,137143,249980,262332,367849
2,0,32,1000000,2,2,34302,34302,34302,34302,34302,34302,34302,34302
2,0,32,1000000,2,3,500733,500733,500733,500733,500733,500733,500733,500733
2,0,32,1000000,2,4,53757,53757,53757,53757,53757,53757,53757,53757
2,0,32,1000000,3,1,4,3,3,3,4,8,8,8
2,0,32,1000000,3,2,169,1,2,3,14,1570,1598,1598
2,0,32,1000000,3,3,628640,80879,294589,315725,703560,1122114,1211495,1211495
2,0,32,1000000,3,4,98479,4398,6171,6299,53883,248218,364539,364539
2,0,32,1000000,4,2,636,119,120,127,196,1652,1682,3119
2,0,32,1000000,4,3,832665,368899,368899,443558,856515,1165945,1238727,1238727
2,0,32,1000000,4,4,132900,41020,41020,43173,105745,251149,337819,337819

3,0,32,1000000,1,1,6,2,2,3,5,17,19,19
3,0,32,1000000,1,2,28112,10,14,21,74,91653,285732,392300
3,0,32,1000000,1,3,2499349,927650,1001001,1069173,2868114,3278455,3370916,3427081
3,0,32,1000000,1,4,154710,16031,39289,58435,150321,244301,255966,398797
3,0,32,1000000,2,2,33127,33127,33127,33127,33127,33127,33127,33127
3,0,32,1000000,2,3,581955,581955,581955,581955,581955,581955,581955,581955
3,0,32,1000000,2,4,50539,50539,50539,50539,50539,50539,50539,50539
3,0,32,1000000,3,1,4,1,1,2,3,11,12,12
3,0,32,1000000,3,2,1188,1,1,1,14,3515,14573,16775
3,0,32,1000000,3,3,732988,185823,212841,365059,714556,1101881,1143120,1336268
3,0,32,1000000,3,4,81348,5428,6669,16133,58030,193884,200499,268045
3,0,32,1000000,4,2,7319,116,122,123,151,14828,19747,129345
3,0,32,1000000,4,3,862429,313460,491287,511048,850344,1238449,1256865,1299735
3,0,32,1000000,4,4,120262,13250,23262,27061,117624,213496,236794,280327

4,1,32,1000000,1,1,4461,21,21,36,271,11509,45064,45064
4,1,32,1000000,1,2,3277756,245130,245130,379621,1077317,13969849,16722038,16722038
4,1,32,1000000,1,3,1110,19,19,43,137,1656,11462,11462
4,1,32,1000000,2,1,427,14,14,14,31,2033,2033,2033
4,1,32,1000000,2,2,367817,169122,169122,169122,399315,542473,542473,542473
4,1,32,1000000,2,3,22,14,14,14,24,32,32,32
4,1,32,1000000,3,1,76,33,33,33,84,145,147,147
4,1,32,1000000,3,2,1570268,188732,188732,315863,1868249,2439496,2601230,2601230
4,1,32,1000000,3,3,39,18,18,23,35,53,76,76
4,1,32,1000000,4,1,64,15,15,15,22,148,393,393
4,1,32,1000000,4,2,1213128,78704,78704,222968,1581435,1796807,1831753,1831753
4,1,32,1000000,4,3,23,9,9,11,20,36,52,52

5,1,32,1000000,1,1,171,33,33,40,149,466,578,578
5,1,32,1000000,1,2,3959174,361014,361014,502631,1453828,15685749,16264559,16264559
5,1,32,1000000,1,3,318,46,46,50,108,856,1090,1090
5,1,32,1000000,2,1,150,16,16,16,39,511,511,511
5,1,32,1000000,2,2,328431,103379,103379,103379,361348,576002,576002,576002
5,1,32,1000000,2,3,20,11,11,11,23,28,28,28
5,1,32,1000000,3,1,113,38,38,56,90,182,262,262
5,1,32,1000000,3,2,1662587,130712,130712,421074,1892804,3248592,3248592,3248592
5,1,32,1000000,3,3,38,26,26,28,33,84,84,84
5,1,32,1000000,4,1,570,10,10,22,34,157,10016,10016
5,1,32,1000000,4,2,999413,54482,54482,188343,890955,1786090,2212438,2212438
5,1,32,1000000,4,3,44,8,8,12,27,107,239,239

6,1,32,1000000,1,1,1392,40,40,40,122,621,17165,17165
6,1,32,1000000,1,2,3963017,317380,317380,450450,1772045,13160650,17312701,17312701
6,1,32,1000000,1,3,452,44,44,46,316,1219,1585,1585
6,1,32,1000000,2,1,23,18,18,18,22,33,33,33
6,1,32,1000000,2,2,339605,166254,166254,166254,381035,537709,537709,537709
6,1,32,1000000,2,3,24,20,20,20,27,30,30,30
6,1,32,1000000,3,1,77,27,27,30,69,134,170,170
6,1,32,1000000,3,2,2064108,396624,396624,396624,2277192,4082943,4082943,4082943
6,1,32,1000000,3,3,46,18,18,18,39,114,114,114
6,1,32,1000000,4,1,2714,24,24,24,37,168,39925,39925
6,1,32,1000000,4,2,1221214,99705,99705,193892,1357890,2264823,2911937,2911937
6,1,32,1000000,4,3,47,14,14,16,34,89,170,170

