NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
1,0,1,16,2000000,26.675735,8.333333,59.027778,83.333333,90.277778
2,0,1,16,2000000,26.734893,8.333333,59.027778,72.916667,83.333333
3,0,1,8,2000000,18.931518,6.944444,57.291667,83.333333,97.222222
4,0,1,8,2000000,18.743496,6.944444,55.555556,69.444444,79.861111
5,1,1,16,2000000,20.774571,6.944444,57.291667,83.333333,90.277778
7,1,1,16,2000000,18.104758,6.944444,53.819444,69.444444,97.222222
8,1,1,8,2000000,16.650261,6.944444,52.083333,69.444444,79.861111
11,1,1,8,2000000,16.800229,6.944444,52.777778,69.444444,97.222222
