compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
1,0,1,3000000,0.634377,0.000000,2.097315,2.516779,2.516779
1,0,1,3000000,0.655421,0.559284,1.677852,2.516779,2.516779
1,0,1,3000000,0.944865,1.118568,2.097315,2.936242,3.355705
1,0,1,3000000,1.109803,1.258389,2.097315,6.991051,9.228188
1,0,1,3000000,0.930590,1.118568,2.097315,2.516779,2.516779
1,0,2,3000000,1.650153,1.398210,2.936242,10.906040,11.325503
1,0,2,3000000,2.128743,1.398210,6.431767,17.617450,20.134228
1,0,4,3000000,4.251173,2.097315,12.583893,19.295302,22.651007
1,0,4,3000000,5.735343,2.097315,17.897092,23.489933,26.426174
1,0,8,3000000,6.465009,5.592841,13.842282,18.875839,21.392617
1,0,12,3000000,7.626060,6.711409,16.778523,22.651007,26.845638
1,0,12,3000000,8.575530,8.389262,18.036913,23.070470,29.362416
0,0,1,3000000,0.042356,0.000000,0.279642,0.419463,0.838926
0,0,1,3000000,0.046413,0.000000,0.279642,0.419463,0.813447
0,0,2,3000000,0.072936,0.000000,0.419463,0.838926,1.258389
0,0,2,3000000,0.111014,0.000000,0.419463,0.838926,1.258389
0,0,4,3000000,0.151544,0.000000,0.559284,1.258389,1.598708
0,0,4,3000000,0.154408,0.000000,0.559284,1.258389,1.611621
0,0,8,3000000,0.189935,0.000000,0.721320,1.258389,2.410006
0,0,8,3000000,0.152728,0.000000,0.559284,0.838926,1.543025
0,0,12,3000000,0.153833,0.000000,0.559284,1.258389,2.224130
0,0,12,3000000,0.151989,0.000000,0.559284,1.258389,1.653883
