NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
8,1,8,2000000,4,1,29,13,13,13,27,81,81,81
8,1,8,2000000,4,2,452328,145276,145276,145276,204843,2218542,2218542,2218542
8,1,8,2000000,4,3,21,16,16,16,22,36,36,36



11,1,8,2000000,1,1,57,37,37,38,48,95,97,97
11,1,8,2000000,1,2,203158,149174,149174,152793,189874,231842,418717,418717
11,1,8,2000000,1,3,46,38,38,38,44,58,59,59
11,1,8,2000000,2,1,32,13,13,13,28,69,69,69
11,1,8,2000000,2,2,369606,103790,103790,103790,389151,616902,616902,616902
11,1,8,2000000,2,3,23,11,11,11,25,35,35,35
11,1,8,2000000,3,1,7078,23,23,23,42,59931,66787,66787
11,1,8,2000000,3,2,261407,129138,129138,140135,203710,389700,879869,879869
11,1,8,2000000,3,3,43,18,18,23,42,59,70,70
11,1,8,2000000,4,1,5577,14,14,16,24,62,66650,66650
11,1,8,2000000,4,2,203382,93791,93791,96340,212655,266665,424219,424219
11,1,8,2000000,4,3,16,11,11,13,17,20,22,22

