compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
2.0,0.0,8.0,1000000.0,1268277.5,508.0,2103.5,1704.0,2669.5,4871.0,0.0,454.5,462.5,800.5,879.0,2164.0,1092.5,0.0,1175.5
2.0,0.0,16.0,1000000.0,1238784.0,496.2,2531.0,1812.0,2872.0,5289.0,0.0,504.5,422.5,928.5,1021.5,2351.5,1104.5,1749.5,954.0
2.0,0.0,32.0,1000000.0,1072855.0,429.7,6468.0,1883.0,2998.5,6873.5,0.0,776.0,518.5,1765.0,2998.0,801.0,887.5,1157.5,798.0
2.0,0.0,48.0,1000000.0,698883.0,279.95,6489.0,1874.5,2960.0,5789.5,0.0,1297.5,971.0,2958.5,7327.0,376.0,895.0,799.5,694.0
2.0,0.0,64.0,1000000.0,655690.0,262.6,8344.0,1870.0,2893.0,5071.0,0.0,1604.5,1188.0,3518.5,6153.5,861.0,563.0,642.5,629.5
