NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99



4,2,16,1000000,3,1,45,45,45,45,45,45,45,45
4,2,16,1000000,3,2,75545,1636,1636,1636,112897,121228,121228,121228
4,2,16,1000000,3,3,277226,207429,207429,207429,259591,344971,344971,344971
4,2,16,1000000,3,4,16136,5390,5390,5390,8950,47083,47083,47083
4,2,16,1000000,3,5,6118,6118,6118,6118,6118,6118,6118,6118








12,2,64,1000000,4,1,6070,6070,6070,6070,6070,6070,6070,6070
12,2,64,1000000,4,2,25554,25554,25554,25554,25554,25554,25554,25554
12,2,64,1000000,4,3,1433116,1433116,1433116,1433116,1433116,1433116,1433116,1433116
12,2,64,1000000,4,4,57431,57431,57431,57431,57431,57431,57431,57431
12,2,64,1000000,4,5,28,28,28,28,28,28,28,28

