NO,compactor,current_node_id,thread,ops_per_thread,type,time
1,2,1,8,1000000,local,4
1,2,1,8,1000000,node 0,9

2,2,1,8,1000000,local,4
2,2,1,8,1000000,node 0,9
2,2,1,8,1000000,node 3,1

3,2,1,16,1000000,local,9
3,2,1,16,1000000,node 0,12
3,2,1,16,1000000,node 3,1

4,2,1,16,1000000,local,9
4,2,1,16,1000000,node 0,16
4,2,1,16,1000000,node 3,6


6,2,1,32,1000000,local,26
6,2,1,32,1000000,node 0,15
6,2,1,32,1000000,node 3,12

7,2,1,32,1000000,local,25
7,2,1,32,1000000,node 0,11
7,2,1,32,1000000,node 3,15

8,2,1,48,1000000,local,40
8,2,1,48,1000000,node 0,13
8,2,1,48,1000000,node 3,44

9,2,1,48,1000000,local,44
9,2,1,48,1000000,node 0,14
9,2,1,48,1000000,node 3,31

10,2,1,64,1000000,local,78
10,2,1,64,1000000,node 0,8
10,2,1,64,1000000,node 3,50


12,2,1,64,1000000,local,73
12,2,1,64,1000000,node 0,9
12,2,1,64,1000000,node 3,45

