NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
1,2,0,8,1000000,27.604321,25.167785,67.114094,75.503356,75.503356
2,2,0,8,1000000,24.496653,16.778523,67.114094,79.697987,79.697987
3,2,0,16,1000000,31.001080,30.201342,67.114094,79.697987,83.892617
4,2,0,16,1000000,31.943132,33.557047,67.114094,83.892617,83.892617
6,2,0,32,1000000,33.053027,27.964206,70.469799,83.892617,88.087248
7,2,0,32,1000000,30.683050,20.134228,67.114094,83.892617,83.892617
8,2,0,48,1000000,16.869731,0.000000,63.758389,75.503356,88.087248
9,2,0,48,1000000,15.425202,0.000000,58.724832,70.469799,79.697987
10,2,0,64,1000000,4.713975,0.000000,16.778523,67.114094,83.892617
12,2,0,64,1000000,8.234298,0.000000,33.557047,70.469799,83.892617
