NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
1,2,0,8,1000000,1298382,520.1,2007,1703,2647,4770,0,476,538,794,835,2051,1024,0,1229
2,2,0,8,1000000,1238173,495.9,2200,1705,2692,4972,0,433,387,807,923,2277,1161,0,1122
3,2,0,16,1000000,1248681,500.2,2477,1809,2827,4923,0,569,443,1116,1269,2272,1058,1542,858
4,2,0,16,1000000,1228887,492.2,2585,1815,2917,5655,0,440,402,741,774,2431,1151,1957,1050
6,2,0,32,1000000,1049927,420.5,6981,1876,3001,7027,0,736,565,1750,2418,1112,832,1014,834
7,2,0,32,1000000,1095783,438.9,5955,1890,2996,6720,0,816,472,1780,3578,490,943,1301,762
8,2,0,48,1000000,696014,278.8,5076,1884,2981,5741,0,1352,1072,2730,6128,199,888,769,719
9,2,0,48,1000000,701752,281.1,7902,1865,2939,5838,0,1243,870,3187,8526,553,902,830,669
10,2,0,64,1000000,654221,262.0,7982,1870,2910,5166,0,1480,933,3310,5082,822,998,671,621
12,2,0,64,1000000,657159,263.2,8706,1870,2876,4976,0,1729,1443,3727,7225,900,128,614,638
