NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
1,2,3,8,1000000,47.818792,55.369128,67.114094,75.503356,96.476510
2,2,3,8,1000000,53.451582,60.822148,71.308725,100.671141,100.671141
3,2,3,16,1000000,36.873018,33.557047,68.791946,83.892617,83.892617
4,2,3,16,1000000,38.518724,33.557047,67.114094,92.281879,100.671141
6,2,3,32,1000000,27.445123,16.778523,62.919463,75.503356,83.892617
7,2,3,32,1000000,29.680653,20.973154,63.758389,81.795302,92.281879
8,2,3,48,1000000,24.134295,16.778523,53.691275,69.211409,83.892617
9,2,3,48,1000000,23.594647,16.778523,50.335570,78.299776,100.671141
10,2,3,64,1000000,22.749067,16.778523,41.946309,73.406040,92.281879
12,2,3,64,1000000,23.826719,16.778523,44.742729,83.892617,117.449664
